id,team_stadium_id,team_class,class_reward_type,item_category_1,item_id_1,item_num_1,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5,disp_start_date,disp_end_date,start_date,end_date
1,1,1,3,103,98,500,0,0,0,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
2,1,2,1,90,43,300,103,98,1000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
3,1,2,3,90,43,25,103,98,1000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
4,1,3,1,90,43,500,103,98,2000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
5,1,3,3,90,43,50,103,98,2000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
6,1,3,4,90,43,50,103,98,2000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
7,1,4,1,90,43,700,103,98,3000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
8,1,4,2,90,43,100,103,98,3000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
9,1,4,3,90,43,100,103,98,3000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
10,1,4,4,90,43,100,103,98,3000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
11,1,5,1,90,43,1000,103,98,4000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
12,1,5,2,90,43,150,103,98,4000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
13,1,5,3,90,43,150,103,98,4000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
14,1,5,4,90,43,150,103,98,4000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
15,1,6,1,90,43,1500,103,98,5000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
16,1,6,2,90,43,200,103,98,5000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
17,1,6,3,90,43,250,103,98,5000,0,0,0,0,0,0,0,0,0,1614135600,1724615999,1614135600,1725220799
18,1,1,3,103,98,500,161,134,50,0,0,50,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
19,1,2,1,90,43,300,103,98,1000,161,134,100,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
20,1,2,3,90,43,25,103,98,1000,161,134,100,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
21,1,3,1,90,43,500,103,98,2000,161,134,200,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
22,1,3,3,90,43,50,103,98,2000,161,134,200,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
23,1,3,4,90,43,50,103,98,2000,161,134,200,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
24,1,4,1,90,43,700,103,98,3000,161,134,300,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
25,1,4,2,90,43,100,103,98,3000,161,134,300,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
26,1,4,3,90,43,100,103,98,3000,161,134,300,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
27,1,4,4,90,43,100,103,98,3000,161,134,300,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
28,1,5,1,90,43,1000,103,98,4000,161,134,400,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
29,1,5,2,90,43,150,103,98,4000,161,134,400,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
30,1,5,3,90,43,150,103,98,4000,161,134,400,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
31,1,5,4,90,43,150,103,98,4000,161,134,400,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
32,1,6,1,90,43,1500,103,98,5000,161,134,500,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
33,1,6,2,90,43,200,103,98,5000,161,134,500,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
34,1,6,3,90,43,250,103,98,5000,161,134,500,0,0,0,0,0,0,1724616000,2524593599,1725220800,2524593599
