id,event_id,group_id,difficulty,race_instance_id,is_hidden_race,unlock_condition_id,season,weather,ground,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,first_clear_item_category_4,first_clear_item_id_4,first_clear_item_num_4,first_clear_item_category_5,first_clear_item_id_5,first_clear_item_num_5,start_date
1,1001,1001,1,680001,0,0,4,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1703732400
2,1001,1001,2,680011,0,0,4,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1703732400
3,1001,1001,3,680021,0,0,4,1,1,90,43,300,55,720001,1,0,0,0,0,0,0,0,0,0,1703732400
4,1001,1002,1,680101,0,0,1,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1703732400
5,1001,1002,2,680111,0,0,1,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1703732400
6,1001,1002,3,680121,0,0,1,1,1,90,43,300,55,720002,1,0,0,0,0,0,0,0,0,0,1703732400
7,1001,1003,1,680201,0,0,1,2,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1703732400
8,1001,1003,2,680211,0,0,1,2,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1703732400
9,1001,1003,3,680221,0,0,1,2,1,90,43,300,55,720003,1,0,0,0,0,0,0,0,0,0,1703732400
10,1002,1004,1,680301,0,0,3,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1711681200
11,1002,1004,2,680311,0,0,3,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1711681200
12,1002,1004,3,680321,0,0,3,1,1,90,43,300,55,720004,1,0,0,0,0,0,0,0,0,0,1711681200
13,1002,1005,1,680401,0,0,3,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1711681200
14,1002,1005,2,680411,0,0,3,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1711681200
15,1002,1005,3,680421,0,0,3,1,1,90,43,300,55,720005,1,0,0,0,0,0,0,0,0,0,1711681200
16,1002,1006,1,680501,0,0,1,2,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1711681200
17,1002,1006,2,680511,0,0,1,2,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1711681200
18,1002,1006,3,680521,0,0,1,2,1,90,43,300,55,720006,1,0,0,0,0,0,0,0,0,0,1711681200
19,1002,1007,1,680601,0,0,3,2,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1711681200
20,1002,1007,2,680611,0,0,3,2,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1711681200
21,1002,1007,3,680621,0,0,3,2,1,90,43,300,55,720007,1,0,0,0,0,0,0,0,0,0,1711681200
22,1002,1008,1,680701,0,0,3,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1711681200
23,1002,1008,2,680711,0,0,3,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1711681200
24,1002,1008,3,680721,0,0,3,1,1,90,43,300,55,720008,1,0,0,0,0,0,0,0,0,0,1711681200
25,1003,1009,1,680801,0,0,3,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1722222000
26,1003,1009,2,680811,0,0,3,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1722222000
27,1003,1009,3,680821,0,0,3,1,1,90,43,300,55,720009,1,0,0,0,0,0,0,0,0,0,1722222000
28,1003,1010,1,680901,0,0,1,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1722222000
29,1003,1010,2,680911,0,0,1,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1722222000
30,1003,1010,3,680921,0,0,1,1,1,90,43,300,55,720010,1,0,0,0,0,0,0,0,0,0,1722222000
31,1003,1011,1,681001,0,0,3,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1722222000
32,1003,1011,2,681011,0,0,3,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1722222000
33,1003,1011,3,681021,0,0,3,1,1,90,43,300,55,720011,1,0,0,0,0,0,0,0,0,0,1722222000
34,1003,1012,1,681101,0,0,1,2,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1722222000
35,1003,1012,2,681111,0,0,1,2,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1722222000
36,1003,1012,3,681121,0,0,1,2,1,90,43,300,55,720012,1,0,0,0,0,0,0,0,0,0,1722222000
37,1003,1013,1,681201,0,0,4,1,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1722222000
38,1003,1013,2,681211,0,0,4,1,1,90,43,300,164,149,1,0,0,0,0,0,0,0,0,0,1722222000
39,1003,1013,3,681221,0,0,4,1,1,90,43,300,55,720013,1,0,0,0,0,0,0,0,0,0,1722222000
40,1004,1014,1,681301,0,0,3,2,1,90,43,300,164,150,1,0,0,0,0,0,0,0,0,0,1732762800
