id,trained_chara_rank,trade_item_category,trade_item_id,trade_item_num
1,1,91,59,20
2,2,91,59,40
3,3,91,59,60
4,4,91,59,80
5,5,91,59,120
6,6,91,59,160
7,7,91,59,200
8,8,91,59,240
9,9,91,59,280
10,10,91,59,340
11,11,91,59,400
12,12,91,59,460
13,13,91,59,520
14,14,91,59,600
15,15,91,59,680
16,16,91,59,760
17,17,91,59,840
18,18,91,59,920
19,19,91,59,1000
20,20,91,59,1020
21,21,91,59,1040
22,22,91,59,1060
23,23,91,59,1080
24,24,91,59,1100
25,25,91,59,1120
26,26,91,59,1140
27,27,91,59,1160
28,28,91,59,1180
29,29,91,59,1200
30,30,91,59,1220
31,31,91,59,1240
32,32,91,59,1260
33,33,91,59,1280
34,34,91,59,1300
35,35,91,59,1320
36,36,91,59,1340
37,37,91,59,1360
38,38,91,59,1380
39,39,91,59,1400
40,40,91,59,1420
41,41,91,59,1440
42,42,91,59,1460
43,43,91,59,1480
44,44,91,59,1500
45,45,91,59,1520
46,46,91,59,1540
47,47,91,59,1560
48,48,91,59,1580
49,49,91,59,1600
50,50,91,59,1620
51,51,91,59,1640
52,52,91,59,1660
53,53,91,59,1680
54,54,91,59,1700
55,55,91,59,1720
56,56,91,59,1740
57,57,91,59,1760
58,58,91,59,1780
59,59,91,59,1800
60,60,91,59,1820
61,61,91,59,1840
62,62,91,59,1860
63,63,91,59,1880
64,64,91,59,1900
65,65,91,59,1920
66,66,91,59,1940
67,67,91,59,1960
68,68,91,59,1980
69,69,91,59,2000
70,70,91,59,2020
71,71,91,59,2040
72,72,91,59,2060
73,73,91,59,2080
74,74,91,59,2100
75,75,91,59,2120
76,76,91,59,2140
77,77,91,59,2160
78,78,91,59,2180
79,79,91,59,2200
80,80,91,59,2220
81,81,91,59,2240
82,82,91,59,2260
83,83,91,59,2280
84,84,91,59,2300
85,85,91,59,2320
86,86,91,59,2340
87,87,91,59,2360
88,88,91,59,2380
89,89,91,59,2400
90,90,91,59,2420
91,91,91,59,2440
92,92,91,59,2460
93,93,91,59,2480
94,94,91,59,2500
95,95,91,59,2520
96,96,91,59,2540
97,97,91,59,2560
98,98,91,59,2580
99,99,91,59,2588
100,100,91,59,2596
101,101,91,59,2604
102,102,91,59,2612
103,103,91,59,2620
104,104,91,59,2628
105,105,91,59,2636
106,106,91,59,2644
107,107,91,59,2652
108,108,91,59,2660
109,109,91,59,2668
