id,rotation_id,trainer_type,difficulty,limited_type,condition1_type,condition1_value1,condition1_value2,condition2_type,condition2_value1,condition2_value2,condition3_type,condition3_value1,condition3_value2,condition4_type,condition4_value1,condition4_value2,condition5_type,condition5_value1,condition5_value2
100101,1001,133,3,1,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100102,1001,102,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100103,1001,201,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100201,1002,113,3,1,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100202,1002,202,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100203,1002,101,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100301,1003,213,3,1,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100302,1003,102,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100303,1003,201,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100401,1004,223,3,1,210,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100402,1004,202,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100403,1004,101,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100501,1005,123,3,1,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100502,1005,102,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100503,1005,202,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100601,1006,113,3,1,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100602,1006,202,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100603,1006,101,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100701,1007,213,3,1,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100702,1007,102,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100703,1007,201,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100801,1008,223,3,1,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100802,1008,202,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100803,1008,101,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
100901,1009,123,3,1,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
100902,1009,102,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
100903,1009,201,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101001,1010,133,3,1,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101002,1010,202,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101003,1010,101,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101101,1011,113,3,1,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101102,1011,102,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101103,1011,201,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101201,1012,223,3,1,210,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101202,1012,202,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101203,1012,101,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101301,1013,123,3,1,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101302,1013,102,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101303,1013,201,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101401,1014,133,3,1,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101402,1014,202,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101403,1014,101,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101501,1015,213,3,1,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101502,1015,102,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101503,1015,201,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101601,1016,123,3,1,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101602,1016,202,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101603,1016,101,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101701,1017,113,3,1,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101702,1017,102,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101703,1017,201,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101801,1018,223,3,1,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101802,1018,202,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101803,1018,101,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
101901,1019,133,3,1,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
101902,1019,102,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
101903,1019,201,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
102001,1020,213,3,1,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
102002,1020,202,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
102003,1020,101,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200101,2001,133,3,1,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200102,2001,102,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,2001,201,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200201,2002,113,3,1,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200202,2002,202,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200203,2002,101,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200301,2003,213,3,1,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200302,2003,102,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200303,2003,201,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200401,2004,223,3,1,210,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200402,2004,202,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200403,2004,101,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200501,2005,123,3,1,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200502,2005,102,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200503,2005,202,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200601,2006,113,3,1,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200602,2006,202,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200603,2006,101,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200701,2007,213,3,1,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200702,2007,102,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,2007,201,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200801,2008,223,3,1,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200802,2008,202,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,2008,101,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
200901,2009,123,3,1,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
200902,2009,102,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
200903,2009,201,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201001,2010,133,3,1,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201002,2010,202,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201003,2010,101,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201101,2011,113,3,1,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201102,2011,102,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201103,2011,201,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201201,2012,223,3,1,210,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201202,2012,202,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201203,2012,101,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201301,2013,123,3,1,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201302,2013,102,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201303,2013,201,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201401,2014,133,3,1,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201402,2014,202,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201403,2014,101,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,2015,213,3,1,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201502,2015,102,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201503,2015,201,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,2016,123,3,1,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201602,2016,202,2,1,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201603,2016,101,1,2,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,2017,113,3,1,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201702,2017,102,2,1,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,2017,201,1,2,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201801,2018,223,3,1,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201802,2018,202,2,1,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,2018,101,1,2,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
201901,2019,133,3,1,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
201902,2019,102,2,1,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,2019,201,1,2,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,2020,213,3,1,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
202002,2020,202,2,1,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,2020,101,1,2,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
