id,cut_id,cut_sub_id,material_id,background_data_id,bg_position_custom,bg_position_x,reward_set_id,love_point,friend_list_id,place_tail,place_position_x,place_position_y,place_color_main,place_color_sub,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
1,3,1,Flooring,117,0,0,1,50,0,0,273,257,FC8642,ED7034,,,,
2,3,2,Flooring,233,0,0,1,50,0,0,273,257,FC8642,ED7034,,,,
3,3,3,Flooring,134,0,0,1,50,0,0,273,257,FC8642,ED7034,,,,
4,1,1,Grass,142,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
5,1,1,Dirt,140,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
6,1,1,Asphalt,392,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
7,1,1,Flooring,197,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
8,1,1,Asphalt,96,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
9,1,1,Soil,271,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
10,1,1,Beach,112,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
11,1,1,Asphalt,422,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
12,1,1,Asphalt,441,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
13,1,1,Asphalt,135,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
14,1,1,Asphalt,420,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
15,1,1,Asphalt,80,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
16,1,1,Asphalt,150,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
17,1,1,Grass,430,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
18,1,1,Asphalt,120,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
19,1,1,Asphalt,166,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
20,1,1,Grass,289,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
21,1,1,Asphalt,356,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
22,1,1,Grass,283,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
23,1,1,Soil,444,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
24,1,1,Asphalt,265,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
25,1,1,Flooring,314,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
26,1,1,Asphalt,267,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
27,1,1,Asphalt,105,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
28,1,1,Asphalt,387,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
29,1,1,Flooring,183,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
30,1,1,Asphalt,311,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
31,1,1,Asphalt,97,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
32,1,1,Soil,442,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
33,1,1,Grass,324,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
34,1,1,Beach,137,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
35,1,1,Grass,454,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
36,1,1,Soil,313,0,0,3,50,0,0,-222,61,54BD42,41A130,,,,
37,2,1,Concrete,263,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
38,2,1,Flooring,118,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
39,2,1,Flooring,99,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
40,2,1,Flooring,327,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
41,2,1,Flooring,390,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
42,2,1,Concrete,461,1,-30000,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
43,2,1,Flooring,353,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
44,2,1,Flooring,408,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
45,2,1,Flooring,412,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
46,2,1,Flooring,423,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
47,2,1,Flooring,403,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
48,2,1,Flooring,371,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
49,2,1,Flooring,116,1,160000,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
50,2,1,Flooring,359,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
51,2,1,Flooring,345,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
52,2,1,Flooring,282,0,0,2,50,0,0,260,-275,5B9EFC,3C7EF0,,,,
