id,gacha_id,target_draw_type,start_date,end_date
1,30002,1,1614110400,1614653999
2,30005,1,1614654000,1615258799
3,30015,1,1619751600,1620269999
4,30016,1,1620270000,1621022399
5,30034,1,1629082800,1629428399
6,30036,1,1629428400,1629748799
7,30037,1,1629748800,1630292399
8,30039,1,1630292400,1630612799
9,30060,10,1640574000,1640919599
10,30063,10,1640919600,1641412799
11,30070,1,1644807600,1644980399
12,30072,1,1644980400,1645214399
13,30073,1,1645214400,1645671599
14,30074,10,1645671600,1646164799
15,30075,10,1646164800,1646621999
16,30077,10,1646622000,1646683199
17,30076,1,1646622000,1647572399
18,30079,1,1647572400,1648522799
19,30087,1,1651114800,1651953599
20,30086,1,1651953600,1652151599
21,30088,1,1652151600,1652817599
22,30106,1,1660618800,1660877999
23,30108,1,1660878000,1661309999
24,30111,10,1661310000,1661741999
25,30113,10,1661742000,1662148799
26,30139,10,1672282800,1672628399
27,30138,10,1672628400,1673121599
28,30148,1,1676343600,1676750399
29,30149,1,1676750400,1677207599
30,30151,10,1677207600,1678219199
31,30152,1,1678417200,1679281199
32,30155,1,1679281200,1680058799
33,30163,10,1682650800,1683316799
34,30184,1,1691982000,1692845999
35,30187,10,1692846000,1693684799
36,30213,10,1703732400,1704571199
37,30220,1,1707879600,1708286399
38,30221,1,1708286400,1708743599
39,30223,10,1708743600,1709755199
40,30224,1,1710212400,1710989999
41,30227,1,1710990000,1711681199
42,30237,10,1714446000,1715111999
43,30253,10,1719370800,1720036799
44,30265,1,1723604400,1724468399
45,30269,10,1724468400,1725307199
46,30285,10,1730170800,1730836799
47,30301,10,1735268400,1736107199
48,30300,1,1736132400,1736477999
49,30304,1,1736478000,1736884799
50,30312,1,1739502000,1739908799
51,30313,1,1739908800,1740365999
52,30315,10,1740366000,1741377599
53,30318,1,1741662000,1742525999
54,30321,1,1742526000,1743389999
55,30331,10,1745982000,1746647999
56,30349,10,1750993200,1751659199
57,30360,1,1755140400,1756004399
58,30363,10,1756004400,1756843199
59,30383,10,1761706800,1762372799
60,30399,10,1766718000,1767556799
61,30398,1,1767582000,1767841199
62,30406,1,1767841200,1768334399
63,30414,1,1771038000,1771444799
64,30415,1,1771444800,1771901999
65,30417,10,1771902000,1772913599
66,30420,1,1773198000,1773889199
67,30422,1,1773889200,1774036799
68,30423,1,1773889200,1774814399
69,30433,10,1777518000,1778183999
70,30449,10,1782702000,1783367999
