id,group_id,story_id,condition_type,condition_story_id_1,gain_select_1,select_index_1,condition_story_id_2,gain_select_2,select_index_2,condition_story_id_3,gain_select_3,select_index_3
1,100100,501001112,1,501001302,0,1,0,0,0,0,0,0
2,100200,501002112,1,501002302,0,1,0,0,0,0,0,0
3,100300,501003112,1,501003302,0,1,0,0,0,0,0,0
4,100400,501004112,1,501004302,0,1,0,0,0,0,0,0
5,100500,501005112,1,501005302,0,1,0,0,0,0,0,0
6,100600,501006112,1,501006302,0,1,0,0,0,0,0,0
7,100700,501007112,1,501007302,0,1,0,0,0,0,0,0
8,100800,501008112,1,501008302,0,1,0,0,0,0,0,0
9,100900,501009112,1,501009302,0,1,0,0,0,0,0,0
10,101000,501010112,1,501010302,0,1,0,0,0,0,0,0
11,101100,501011112,1,501011302,0,1,0,0,0,0,0,0
12,101200,501012112,1,501012302,0,1,0,0,0,0,0,0
13,101300,501013112,1,501013302,0,1,0,0,0,0,0,0
14,101400,501014112,1,501014302,0,1,0,0,0,0,0,0
15,101500,501015112,1,501015302,0,1,0,0,0,0,0,0
16,101600,501016112,1,501016302,0,1,0,0,0,0,0,0
17,101700,501017112,1,501017302,0,1,0,0,0,0,0,0
18,101800,501018112,1,501018302,0,1,0,0,0,0,0,0
19,101900,501019112,1,501019302,0,1,0,0,0,0,0,0
20,102000,501020112,1,501020302,0,1,0,0,0,0,0,0
21,102100,501021112,1,501021302,0,1,0,0,0,0,0,0
22,102200,501022112,1,501022302,0,1,0,0,0,0,0,0
23,102300,501023112,1,501023302,0,1,0,0,0,0,0,0
24,102400,501024112,1,501024302,0,1,0,0,0,0,0,0
25,102500,501025112,1,501025302,0,1,0,0,0,0,0,0
26,102600,501026112,1,501026302,0,1,0,0,0,0,0,0
27,102700,501027112,1,501027302,0,1,0,0,0,0,0,0
28,102800,501028112,1,501028302,0,1,0,0,0,0,0,0
29,102900,501029112,1,501029302,0,1,0,0,0,0,0,0
30,103000,501030112,1,501030302,0,1,0,0,0,0,0,0
31,103100,501031112,1,501031302,0,1,0,0,0,0,0,0
32,103200,501032112,1,501032302,0,1,0,0,0,0,0,0
33,103300,501033112,1,501033302,0,1,0,0,0,0,0,0
34,103400,501034112,1,501034302,0,1,0,0,0,0,0,0
35,103500,501035112,1,501035302,0,1,0,0,0,0,0,0
36,103600,501036112,1,501036302,0,1,0,0,0,0,0,0
37,103700,501037112,1,501037302,0,1,0,0,0,0,0,0
38,103800,501038112,1,501038302,0,1,0,0,0,0,0,0
39,103900,501039112,1,501039302,0,1,0,0,0,0,0,0
40,104000,501040112,1,501040302,0,1,0,0,0,0,0,0
41,104100,501041112,1,501041302,0,1,0,0,0,0,0,0
42,104200,501042112,1,501042302,0,1,0,0,0,0,0,0
43,104300,501043112,1,501043302,0,1,0,0,0,0,0,0
44,104400,501044112,1,501044302,0,1,0,0,0,0,0,0
45,104500,501045112,1,501045302,0,1,0,0,0,0,0,0
46,104600,501046112,1,501046302,0,1,0,0,0,0,0,0
47,104700,501047112,1,501047302,0,1,0,0,0,0,0,0
48,104800,501048112,1,501048302,0,1,0,0,0,0,0,0
49,104900,501049112,1,501049302,0,1,0,0,0,0,0,0
50,105000,501050112,1,501050302,0,1,0,0,0,0,0,0
51,105100,501051112,1,501051302,0,1,0,0,0,0,0,0
52,105200,501052112,1,501052302,0,1,0,0,0,0,0,0
53,105300,501053112,1,501053302,0,1,0,0,0,0,0,0
54,105400,501054112,1,501054302,0,1,0,0,0,0,0,0
55,105500,501055112,1,501055302,0,1,0,0,0,0,0,0
56,105600,501056112,1,501056302,0,1,0,0,0,0,0,0
57,105700,501057112,1,501057302,0,1,0,0,0,0,0,0
58,105800,501058112,1,501058302,0,1,0,0,0,0,0,0
59,105900,501059112,1,501059302,0,1,0,0,0,0,0,0
60,106000,501060112,1,501060302,0,1,0,0,0,0,0,0
61,106100,501061112,1,501061302,0,1,0,0,0,0,0,0
62,106200,501062112,1,501062302,0,1,0,0,0,0,0,0
63,106300,501063112,1,501063302,0,1,0,0,0,0,0,0
64,106400,501064112,1,501064302,0,1,0,0,0,0,0,0
65,106500,501065112,1,501065302,0,1,0,0,0,0,0,0
66,106600,501066112,1,501066302,0,1,0,0,0,0,0,0
67,106700,501067112,1,501067302,0,1,0,0,0,0,0,0
68,106800,501068112,1,501068302,0,1,0,0,0,0,0,0
69,106900,501069112,1,501069302,0,1,0,0,0,0,0,0
70,107000,501070112,1,501070302,0,1,0,0,0,0,0,0
71,107100,501071112,1,501071302,0,1,0,0,0,0,0,0
72,107200,501072112,1,501072302,0,1,0,0,0,0,0,0
73,107400,501074112,1,501074302,0,1,0,0,0,0,0,0
74,107600,501076112,1,501076302,0,1,0,0,0,0,0,0
75,107700,501077112,1,501077302,0,1,0,0,0,0,0,0
76,107800,501078112,1,501078302,0,1,0,0,0,0,0,0
77,107900,501079112,1,501079302,0,1,0,0,0,0,0,0
78,108000,501080112,1,501080302,0,1,0,0,0,0,0,0
79,108200,501082112,1,501082302,0,1,0,0,0,0,0,0
80,108300,501083112,1,501083302,0,1,0,0,0,0,0,0
81,108400,501084112,1,501084302,0,1,0,0,0,0,0,0
82,108500,501085112,1,501085302,0,1,0,0,0,0,0,0
83,108600,501086112,1,501086302,0,1,0,0,0,0,0,0
84,108700,501087112,1,501087302,0,1,0,0,0,0,0,0
85,108800,501088112,1,501088302,0,1,0,0,0,0,0,0
86,108900,501089112,1,501089302,0,1,0,0,0,0,0,0
87,109100,501091112,1,501091302,0,1,0,0,0,0,0,0
88,109300,501093112,1,501093302,0,1,0,0,0,0,0,0
89,109400,501094112,1,501094302,0,1,0,0,0,0,0,0
90,109800,501098112,1,501098302,0,1,0,0,0,0,0,0
91,109900,501099112,1,501099302,0,1,0,0,0,0,0,0
92,110000,501100112,1,501100302,0,1,0,0,0,0,0,0
93,110200,501102112,1,501102302,0,1,0,0,0,0,0,0
94,110400,501104112,1,501104302,0,1,0,0,0,0,0,0
95,110500,501105112,1,501105302,0,1,0,0,0,0,0,0
96,110600,501106112,1,501106302,0,1,0,0,0,0,0,0
97,110700,501107112,1,501107302,0,1,0,0,0,0,0,0
98,110800,501108112,1,501108302,0,1,0,0,0,0,0,0
99,110900,501109112,1,501109302,0,1,0,0,0,0,0,0
100,111000,501110112,1,501110302,0,1,0,0,0,0,0,0
101,111100,501111112,1,501111302,0,1,0,0,0,0,0,0
102,111600,501116112,1,501116302,0,1,0,0,0,0,0,0
103,111700,501117112,1,501117302,0,1,0,0,0,0,0,0
104,111900,501119112,1,501119302,0,1,0,0,0,0,0,0
105,112000,501120112,1,501120302,0,1,0,0,0,0,0,0
106,112100,501121112,1,501121302,0,1,0,0,0,0,0,0
107,112400,501124112,1,501124302,0,1,0,0,0,0,0,0
108,111500,501115112,1,501115302,0,1,0,0,0,0,0,0
109,107300,501073112,1,501073302,0,1,0,0,0,0,0,0
110,113100,501131112,1,501131302,0,1,0,0,0,0,0,0
111,109600,501096112,1,501096302,0,1,0,0,0,0,0,0
112,112700,501127112,1,501127302,0,1,0,0,0,0,0,0
113,109000,501090112,1,501090302,0,1,0,0,0,0,0,0
114,113200,501132112,1,501132302,0,1,0,0,0,0,0,0
115,113300,501133112,1,501133302,0,1,0,0,0,0,0,0
116,111300,501113112,1,501113302,0,1,0,0,0,0,0,0
117,109700,501097112,1,501097302,0,1,0,0,0,0,0,0
118,108100,501081112,1,501081302,0,1,0,0,0,0,0,0
119,109500,501095112,1,501095302,0,1,0,0,0,0,0,0
120,109200,501092112,1,501092302,0,1,0,0,0,0,0,0
121,111400,501114112,1,501114302,0,1,0,0,0,0,0,0
122,113500,501135112,1,501135302,0,1,0,0,0,0,0,0
123,113700,501137112,1,501137302,0,1,0,0,0,0,0,0
124,110300,501103112,1,501103302,0,1,0,0,0,0,0,0
125,112900,501129112,1,501129302,0,1,0,0,0,0,0,0
126,114300,501143112,1,501143302,0,1,0,0,0,0,0,0
127,113000,501130112,1,501130302,0,1,0,0,0,0,0,0
128,111800,501118112,1,501118302,0,1,0,0,0,0,0,0
129,111200,501112112,1,501112302,0,1,0,0,0,0,0,0
130,113600,501136112,1,501136302,0,1,0,0,0,0,0,0
131,113400,501134112,1,501134302,0,1,0,0,0,0,0,0
1001,100303,501003307,1,501003305,0,0,0,0,0,0,0,0
1002,100303,501003308,0,0,0,0,0,0,0,0,0,0
1003,100304,501003204,1,501003307,0,0,0,0,0,0,0,0
1004,100304,501003205,1,501003308,0,0,0,0,0,0,0,0
1005,100305,501003309,1,501003204,0,0,0,0,0,0,0,0
1006,100305,501003310,0,0,0,0,0,0,0,0,0,0
1007,100307,501003118,1,501003311,0,0,0,0,0,0,0,0
1008,100307,501003117,1,501003312,0,0,0,0,0,0,0,0
1009,100503,501005204,1,501005113,2,0,0,0,0,0,0,0
1010,100504,501005308,1,501005204,0,0,0,0,0,0,0,0
1011,100505,501005205,1,501005113,1,0,0,0,0,0,0,0
1012,100506,501005309,1,501005205,0,0,0,0,0,0,0,0
1013,100507,501005206,1,501005309,0,0,0,0,0,0,0,0
1014,100508,501005310,1,501005206,0,0,0,0,0,0,0,0
1015,100508,501005311,1,501005206,0,0,0,0,0,0,0,0
1016,100508,501005312,1,501005206,0,0,0,0,0,0,0,0
1017,100509,501005207,1,501005308,0,0,0,0,0,0,0,0
1018,100510,501005313,1,501005207,0,0,0,0,0,0,0,0
1019,100904,501009203,1,501009115,2,0,0,0,0,0,0,0
1020,100905,501009313,1,501009115,1,0,0,0,0,0,0,0
1021,100906,501009310,1,501009203,0,0,0,0,0,0,0,0
1022,100906,501009311,1,501009203,0,0,0,0,0,0,0,0
1023,100907,501009314,1,501009313,0,0,0,0,0,0,0,0
1024,100907,501009315,1,501009313,0,0,0,0,0,0,0,0
1025,100908,501009312,2,501009314,0,0,501009315,0,0,0,0,0
1026,101603,501016307,1,501016305,0,0,0,0,0,0,0,0
1027,101603,501016308,1,501016306,0,0,0,0,0,0,0,0
1028,101603,501016309,0,0,0,0,0,0,0,0,0,0
1029,101604,501016312,1,501016307,0,0,0,0,0,0,0,0
1030,101604,501016313,2,501016308,0,0,501016309,0,0,0,0,0
1031,101604,501016314,0,0,0,0,0,0,0,0,0,0
1032,101607,501016115,1,501016121,1,0,0,0,0,0,0,0
1033,101607,501016116,1,501016121,2,0,0,0,0,0,0,0
1034,101608,501016207,1,501016115,0,0,0,0,0,0,0,0
1035,101608,501016208,1,501016116,0,0,0,0,0,0,0,0
1036,101609,501016317,1,501016207,0,0,0,0,0,0,0,0
1037,101609,501016318,1,501016208,0,0,0,0,0,0,0,0
1038,101610,501016209,1,501016317,0,0,0,0,0,0,0,0
1039,101610,501016210,1,501016318,0,0,0,0,0,0,0,0
1040,101611,501016319,1,501016209,0,0,0,0,0,0,0,0
1041,101611,501016320,1,501016210,0,0,0,0,0,0,0,0
1042,101612,501016117,1,501016319,0,0,0,0,0,0,0,0
1043,101612,501016118,1,501016320,0,0,0,0,0,0,0,0
1044,101613,501016211,1,501016117,0,0,0,0,0,0,0,0
1045,101613,501016212,1,501016118,0,0,0,0,0,0,0,0
1046,101614,501016321,1,501016211,0,0,0,0,0,0,0,0
1047,101614,501016322,1,501016212,0,0,0,0,0,0,0,0
1048,101615,501016119,1,501016321,0,0,0,0,0,0,0,0
