id,item_pack_id,item_category,item_id,item_num,start_date,end_date
1,1000,41,130,1,2017-01-01 12:00:00,2030-01-10 00:00:00
2,1001,42,131,1,2017-01-01 12:00:00,2030-01-10 00:00:00
3,1002,41,164,1,2022/2/24 12:00:00,2030-01-10 00:00:00
4,1003,42,165,1,2022/2/24 12:00:00,2030-01-10 00:00:00
5,1004,41,196,1,2023/2/24 12:00:00,2030-01-10 00:00:00
6,1005,42,197,1,2023/2/24 12:00:00,2030-01-10 00:00:00
7,1006,41,204,1,2023/8/24 12:00:00,2030-01-10 00:00:00
8,1007,42,205,1,2023/8/24 12:00:00,2030-01-10 00:00:00
9,1008,176,206,1,2023/10/5 12:00:00,2050-01-10 00:00:00
10,1009,177,207,1,2023/10/5 12:00:00,2050-01-10 00:00:00
11,1010,41,210,1,2024/01/01 12:00:00,2030-01-10 00:00:00
12,1011,41,213,1,2024/2/24 12:00:00,2030-01-10 00:00:00
13,1012,42,214,1,2024/2/24 12:00:00,2030-01-10 00:00:00
14,1013,41,254,1,2024/8/24 12:00:00,2030-01-10 00:00:00
15,1014,42,255,1,2024/8/24 12:00:00,2030-01-10 00:00:00
16,1015,185,5001,1,2017/01/01 12:00:00,2030/01/10 00:00:00
17,1015,20,32,10,2017/01/01 12:00:00,2030/01/10 00:00:00
18,1015,11,162,10,2017/01/01 12:00:00,2030/01/10 00:00:00
19,1015,11,163,10,2017/01/01 12:00:00,2030/01/10 00:00:00
20,1016,41,270,1,2017/01/01 12:00:00,2030/01/10 00:00:00
21,1017,42,271,1,2017/01/01 12:00:00,2030/01/10 00:00:00
22,1018,185,5002,1,2017/01/01 12:00:00,2030/01/10 00:00:00
23,1018,20,32,10,2017/01/01 12:00:00,2030/01/10 00:00:00
24,1018,11,162,10,2017/01/01 12:00:00,2030/01/10 00:00:00
25,1018,11,163,10,2017/01/01 12:00:00,2030/01/10 00:00:00
26,1019,179,211,10,2017/01/01 12:00:00,2030/01/10 00:00:00
27,1020,91,59,240000,2017/01/01 12:00:00,2030/01/10 00:00:00
28,1020,30,110,120000,2017/01/01 12:00:00,2030/01/10 00:00:00
