id,set_id,music_id,position_id,chara_type,chara_id,dress_id,dress_color,second_dress_id,second_dress_color,vocal_chara_id
1,1,1025,1,1,1013,101301,0,0,0,0
2,2,1008,1,1,1013,101301,0,0,0,0
3,2,1008,2,2,10008,8,0,0,0,1045
4,2,1008,3,2,10009,8,0,0,0,1011
5,2,1008,4,1,1027,7,0,0,0,0
6,2,1008,5,2,10013,7,0,0,0,0
7,2,1008,6,2,10007,7,0,0,0,0
8,2,1008,7,2,10016,7,0,0,0,0
9,2,1008,8,2,10011,7,0,0,0,0
10,2,1008,9,2,10015,7,0,0,0,0
11,2,1008,10,2,10004,7,0,0,0,0
12,2,1008,11,2,10012,7,0,0,0,0
13,2,1008,12,2,10014,7,0,0,0,0
14,2,1008,13,2,10010,7,0,0,0,0
15,2,1008,14,2,10006,7,0,0,0,0
16,2,1008,15,2,10005,7,0,0,0,0
17,2,1008,16,2,10003,7,0,0,0,0
18,2,1008,17,2,10002,7,0,0,0,0
19,2,1008,18,2,10001,7,0,0,0,0
20,3,1026,1,1,1030,103001,0,0,0,0
21,4,1030,1,1,1035,103501,0,0,0,0
22,4,1030,2,1,1023,102301,0,0,0,0
23,4,1030,3,1,1050,105001,0,0,0,0
24,5,1032,1,1,1003,100301,0,100302,0,0
25,5,1032,2,1,1013,101301,0,0,0,0
26,5,1032,3,1,1060,106001,0,0,0,0
27,5,1032,4,1,1062,7,1,0,0,0
28,5,1032,5,1,1001,7,1,0,0,0
29,5,1032,6,1,1063,7,1,0,0,0
30,5,1032,7,1,1002,7,1,0,0,0
31,5,1032,8,1,1066,7,1,0,0,0
32,5,1032,9,1,1009,7,1,0,0,0
33,5,1032,10,1,1064,7,1,0,0,0
34,5,1032,11,1,1008,7,1,0,0,0
35,5,1032,12,1,1065,7,1,0,0,0
36,5,1032,13,1,1007,7,1,0,0,0
37,5,1032,14,1,1030,7,1,0,0,0
38,5,1032,15,1,1026,7,1,0,0,0
39,6,1028,1,1,1016,101601,0,0,0,0
40,6,1028,2,2,8001,7,0,0,0,1032
41,6,1028,3,2,8002,7,0,0,0,1056
42,6,1028,4,2,8003,7,0,0,0,0
43,6,1028,5,2,8004,7,0,0,0,0
44,6,1028,6,2,8005,7,0,0,0,0
45,6,1028,7,2,8006,7,0,0,0,0
46,6,1028,8,2,8007,7,0,0,0,0
47,6,1028,9,2,8008,7,0,0,0,0
48,6,1028,10,2,8009,7,0,0,0,0
49,6,1028,11,2,8010,7,0,0,0,0
50,6,1028,12,2,8011,7,0,0,0,0
51,6,1028,13,2,8012,7,0,0,0,0
52,6,1028,14,2,8013,7,0,0,0,0
53,6,1028,15,2,8014,7,0,0,0,0
54,6,1028,16,2,8015,7,0,0,0,0
55,6,1028,17,2,8016,7,0,0,0,0
56,6,1028,18,2,8017,7,0,0,0,0
57,7,1031,1,1,1016,101602,0,0,0,0
58,8,1004,1,1,1001,103,0,0,0,0
59,8,1004,2,1,1002,103,0,0,0,0
60,8,1004,3,1,1003,102,0,0,0,0
61,8,1004,4,1,1007,103,0,0,0,0
62,8,1004,5,1,1013,103,0,0,0,0
63,8,1004,6,1,1009,103,0,0,0,0
64,8,1004,7,1,1008,102,0,0,0,0
65,8,1004,8,1,1018,103,0,0,0,0
66,8,1004,9,1,1017,103,0,0,0,0
67,8,1004,10,1,1024,102,0,0,0,0
68,8,1004,11,1,1016,103,0,0,0,0
69,8,1004,12,1,1068,102,0,0,0,0
70,8,1004,13,1,1067,103,0,0,0,0
71,8,1004,14,1,1066,103,0,0,0,0
72,8,1004,15,1,1060,103,0,0,0,0
73,8,1004,16,1,1023,103,0,0,0,0
74,8,1004,17,1,1050,102,0,0,0,0
75,8,1004,18,1,1035,102,0,0,0,0
76,9,1037,1,1,1002,100201,0,0,0,0
77,9,1037,2,1,1032,103201,0,0,0,0
78,10,1050,1,1,1001,105,0,0,0,0
79,10,1050,2,1,1002,105,0,0,0,0
80,10,1050,3,1,1003,104,0,0,0,0
81,10,1050,4,1,1068,104,0,0,0,0
82,10,1050,5,1,1062,105,0,0,0,0
83,10,1050,6,1,1067,105,0,0,0,0
84,10,1050,7,1,1006,105,0,0,0,0
85,10,1050,8,1,1059,105,0,0,0,0
86,10,1050,9,1,1045,105,0,0,0,0
87,10,1050,10,1,1027,104,0,0,0,0
88,10,1050,11,1,1069,105,0,0,0,0
89,10,1050,12,1,1033,105,0,0,0,0
90,10,1050,13,1,1074,105,0,0,0,0
91,10,1050,14,1,1021,104,0,0,0,0
92,10,1050,15,1,1077,105,0,0,0,0
93,10,1050,16,1,1072,105,0,0,0,0
94,10,1050,17,1,1015,104,0,0,0,0
95,10,1050,18,1,1071,105,0,0,0,0
96,11,1052,1,1,1005,100520,0,0,0,0
97,11,1052,2,1,1020,102020,0,0,0,0
98,12,1008,1,1,1001,100101,0,0,0,0
99,12,1008,2,1,1074,107401,0,0,0,0
100,12,1008,3,1,1020,102001,0,0,0,0
101,12,1008,4,2,10166,7,0,0,0,0
102,12,1008,5,2,10167,7,0,0,0,0
103,12,1008,6,2,10162,7,0,0,0,0
104,12,1008,7,1,1056,7,0,0,0,0
105,12,1008,8,2,10176,7,0,0,0,0
106,12,1008,9,2,10185,7,0,0,0,0
107,12,1008,10,2,10187,7,0,0,0,0
108,12,1008,11,2,10188,7,0,0,0,0
109,12,1008,12,2,10186,7,0,0,0,0
110,13,1051,1,1,1001,100101,0,0,0,0
111,13,1051,2,1,1013,101301,0,0,0,0
112,13,1051,3,1,1002,100201,0,0,0,0
113,13,1051,4,1,1030,103001,0,0,0,0
114,13,1051,5,1,1016,101601,0,0,0,0
115,13,1051,6,1,1007,100701,0,0,0,0
116,13,1051,7,1,1035,103501,0,0,0,0
117,14,1053,1,1,1098,25,0,0,0,0
118,14,1053,2,1,1046,25,2,0,0,0
119,14,1053,3,1,1019,25,3,0,0,0
120,14,1053,4,1,1034,25,1,0,0,0
121,14,1053,5,1,1052,25,1,0,0,0
122,14,1053,6,1,1099,25,1,0,0,0
123,14,1053,7,1,1100,25,1,0,0,0
124,14,1053,8,1,1085,25,1,0,0,0
125,14,1053,9,1,1093,25,1,0,0,0
126,14,1053,10,1,1065,25,1,0,0,0
127,14,1053,11,1,1078,25,1,0,0,0
128,14,1053,12,1,1087,25,1,0,0,0
129,14,1053,13,1,1076,25,1,0,0,0
130,14,1053,14,1,1008,25,1,0,0,0
131,14,1053,15,1,1009,25,1,0,0,0
132,14,1053,16,1,1024,25,1,0,0,0
133,14,1053,17,1,1069,25,1,0,0,0
134,14,1053,18,1,1041,25,1,0,0,0
135,15,1033,1,1,1098,109801,0,0,0,0
136,15,1033,2,1,1099,109901,0,0,0,0
137,15,1033,3,1,1100,110001,0,0,0,0
138,16,1060,1,1,1057,105701,0,0,0,0
139,16,1060,2,1,1104,110401,0,0,0,0
140,16,1060,3,1,1066,106601,0,0,0,0
141,16,1060,4,1,1017,101701,0,0,0,0
142,16,1060,5,1,1076,107601,0,0,0,0
143,16,1060,6,1,1055,105501,0,0,0,0
144,16,1060,7,1,1016,101601,0,0,0,0
145,16,1060,8,1,1024,102401,0,0,0,0
146,16,1060,9,1,1068,106801,0,0,0,0
147,16,1060,10,1,1084,108401,0,0,0,0
148,16,1060,11,1,1060,106001,0,0,0,0
149,16,1060,12,1,1083,108301,0,0,0,0
150,16,1060,13,1,1067,106701,0,0,0,0
151,16,1060,14,1,1032,103201,0,0,0,0
152,16,1060,15,1,1089,108901,0,0,0,0
153,16,1060,16,1,1094,109401,0,0,0,0
154,16,1060,17,1,1088,108801,0,0,0,0
155,16,1060,18,1,1025,102501,0,0,0,0
156,17,1080,1,1,1071,107120,0,0,0,0
157,17,1080,2,1,1069,106920,0,0,0,0
158,17,1080,3,2,8017,11,0,0,0,0
159,17,1080,4,2,8036,12,0,0,0,0
160,17,1080,5,2,8080,11,0,0,0,0
161,17,1080,6,2,8049,12,0,0,0,0
162,17,1080,7,2,8144,11,0,0,0,0
163,17,1080,8,2,8278,12,0,0,0,0
164,17,1080,9,2,8145,11,0,0,0,0
165,17,1080,10,2,8428,12,0,0,0,0
166,17,1080,11,2,8163,11,0,0,0,0
167,17,1080,12,2,8510,12,0,0,0,0
168,18,1083,1,1,1077,31,0,0,0,0
169,18,1083,2,1,1014,32,0,0,0,0
170,18,1083,3,1,1007,32,0,0,0,0
171,18,1083,4,1,1076,31,0,0,0,0
172,18,1083,5,1,1106,31,0,0,0,0
173,18,1083,6,1,1105,31,0,0,0,0
174,18,1083,7,1,1033,31,0,0,0,0
175,18,1083,8,1,1016,32,0,0,0,0
176,18,1083,9,1,1025,31,0,0,0,0
177,18,1083,10,1,1045,31,0,0,0,0
178,18,1083,11,1,1094,32,0,0,0,0
