id,npc_group_id,chara_id,mob_id,race_dress_id,cutin_flag,use_replacing,replace_npc_id,replace_midboss_id,replace_boss_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id_1,skill_set_id_2,skill_set_id_3
1,680001,1068,0,106802,1,0,17,2,16,1523,1004,1033,1043,1061,3,5,7,7,7,6,5,1,7,1,70110001,70110002,0
2,680001,1089,0,108901,2,0,17,0,0,1359,992,994,829,1008,1,1,7,7,1,7,6,2,7,1,70110003,70110004,0
3,680001,1102,0,110201,3,0,17,0,0,1350,702,988,617,1014,1,2,7,7,1,6,6,7,7,1,70110005,70110006,0
4,680001,1088,0,108801,4,0,17,0,0,1377,736,972,758,964,1,6,7,7,1,6,7,4,7,1,70110007,70110008,0
5,680001,1,8319,12,0,0,0,0,0,827,1162,597,960,951,1,1,5,6,6,5,4,3,6,1,79400001,79400002,0
6,680001,1,8325,12,0,0,0,0,0,931,681,742,991,1152,1,1,5,6,6,5,4,3,6,1,79400003,79400004,0
7,680001,1,8337,11,0,0,0,0,0,1018,1000,835,871,773,1,1,5,6,5,6,5,4,6,1,79401001,79401002,0
8,680001,1,8340,8,0,0,0,0,0,985,638,964,1010,900,1,1,5,6,5,6,5,4,6,1,79401003,79401004,0
9,680001,1,8352,8,0,0,0,0,0,807,1066,1132,732,760,1,1,5,6,4,5,6,5,6,1,79402001,79402002,0
10,680001,1,8355,8,0,0,0,0,0,1047,902,889,672,988,1,1,5,6,4,5,6,5,6,1,79402003,79402004,0
11,680001,1,8376,11,0,0,0,0,0,856,960,843,947,891,1,1,5,6,3,4,5,6,6,1,79403001,79403002,0
12,680001,1,8382,12,0,0,0,0,0,878,557,1085,1128,850,1,1,5,6,3,4,5,6,6,1,79403003,79403004,0
13,680001,1,8334,12,0,0,0,0,0,928,711,971,965,922,1,1,5,6,5,6,5,4,6,1,79401005,79401006,0
14,680001,1,8346,11,0,0,0,0,0,1110,882,1087,617,802,1,1,5,6,5,6,5,4,6,1,79401007,79401008,0
15,680001,1,8349,11,0,0,0,0,0,914,1214,1060,653,642,1,1,5,6,4,5,6,5,6,1,79402005,79402006,0
16,680001,1089,0,108901,1,1,0,0,0,1451,1083,1059,904,1092,1,1,7,7,1,7,6,2,7,1,70110009,70110010,0
