id,scene_type,release_num,size_x,size_y,grid_offset_x,grid_offset_y,dress_id,position,env_id
10001,1,1,15,5,0,0,2,,-1
10002,1,11,15,5,0,0,6,,-1
10003,1,21,15,7,0,0,2,,-1
10004,6,0,15,9,0,0,6,,-1
20001,2,0,18,6,0,1.5,2,,-1
30001,3,0,15,5,0,0,2,Job/Position/Type00/pfb_min_job_type00_01_pos,-1
30002,3,0,15,5,0,0,6,Job/Position/Type00/pfb_min_job_type00_02_pos,-1
30004,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_04_pos,-1
30005,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_05_pos,-1
30006,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_06_pos,-1
30007,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_07_pos,-1
30010,3,0,15,5,0,0,2,Job/Position/Type00/pfb_min_job_type00_01_pos,-1
30011,3,0,15,5,0,0,6,Job/Position/Type00/pfb_min_job_type00_02_pos,-1
30012,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_04_pos,-1
30013,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_05_pos,-1
30014,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_06_pos,-1
30015,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_07_pos,-1
30016,3,0,15,5,0,0,2,Job/Position/Type00/pfb_min_job_type00_01_pos,-1
30017,3,0,15,5,0,0,6,Job/Position/Type00/pfb_min_job_type00_02_pos,-1
30018,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_04_pos,-1
30019,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_05_pos,-1
30020,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_06_pos,-1
30021,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_07_pos,-1
30022,3,0,15,5,0,0,2,Job/Position/Type00/pfb_min_job_type00_01_pos,-1
30023,3,0,15,5,0,0,6,Job/Position/Type00/pfb_min_job_type00_02_pos,-1
30024,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_04_pos,-1
30025,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_05_pos,-1
30026,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_06_pos,-1
30027,3,0,15,9,0,0,2,Job/Position/Type00/pfb_min_job_type00_07_pos,-1
40001,4,0,15,9,0,0,2,,-1
50001,5,0,15,9,0,0,48,,-1
60001,99,0,15,5,0,0,2,,-1
60002,99,0,15,5,0,0,2,,-1
60003,99,0,15,5,0,0,5,,-1
99001,99,0,15,5,0,0,2,,-1
99002,99,0,0,0,0,0,0,,-1
