id,story_event_id,min_episode_index,max_episode_index,ending_flag,character_id,dress_id,dress_color,chara_dress_color_set_id,menu_bg_id,menu_bg_sub_id,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
1,1001,1,2,0,1001,5,0,0,2,110,snd_bgm_GM032_sys_02,snd_bgm_GM032,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d
2,1001,3,5,0,1001,5,0,0,2,110,snd_bgm_GM032_sys_02,snd_bgm_GM032,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d
3,1001,6,7,0,1001,5,0,0,2,110,snd_bgm_GM032_sys_02,snd_bgm_GM032,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d
4,1001,8,8,0,1001,5,0,0,2,110,snd_bgm_GM032_sys_02,snd_bgm_GM032,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d
5,1001,0,0,1,1001,5,0,0,2,110,snd_bgm_GM032_sys_02,snd_bgm_GM032,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d
6,1002,1,2,0,1003,100302,0,0,76,110,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_race_track_d,snd_sfx_atmos_race_track_d
7,1002,1,2,0,1013,101302,0,0,76,110,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_race_track_d,snd_sfx_atmos_race_track_d
8,1002,3,5,0,1068,5,0,0,11,110,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_cafe_d,snd_sfx_atmos_cafe_d
9,1002,3,5,0,1067,5,0,0,11,110,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_cafe_d,snd_sfx_atmos_cafe_d
10,1002,6,7,0,1068,5,0,0,74,110,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_training_stand_d,snd_sfx_atmos_training_stand_d
11,1002,6,7,0,1067,5,0,0,74,110,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_training_stand_d,snd_sfx_atmos_training_stand_d
12,1002,8,8,0,1068,5,0,0,33,120,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_kasenjiki_e,snd_sfx_atmos_kasenjiki_e
13,1002,8,8,0,1067,5,0,0,33,120,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_kasenjiki_e,snd_sfx_atmos_kasenjiki_e
14,1002,0,0,1,1068,5,0,0,33,120,snd_bgm_GM085_sys,snd_bgm_GM085,snd_sfx_atmos_kasenjiki_e,snd_sfx_atmos_kasenjiki_e
15,1003,1,2,0,1024,2,0,0,7,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
16,1003,1,2,0,1018,2,0,0,7,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
17,1003,3,5,0,1018,3,0,0,123,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_mori_d,snd_sfx_atmos_mori_d
18,1003,3,5,0,1059,3,0,0,123,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_mori_d,snd_sfx_atmos_mori_d
19,1003,3,5,0,1039,3,0,0,123,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_mori_d,snd_sfx_atmos_mori_d
20,1003,6,7,0,1024,3,0,0,128,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_mori_d,snd_sfx_atmos_mori_d
21,1003,6,7,0,1028,3,0,0,128,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_mori_d,snd_sfx_atmos_mori_d
22,1003,8,8,0,1018,101826,0,0,127,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
23,1003,8,8,0,1024,102426,0,0,127,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
24,1003,0,0,1,1018,101826,0,0,127,110,snd_bgm_DM014_sys,snd_bgm_DM014,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
25,1004,1,2,0,1014,101416,0,0,112,110,snd_bgm_GM093_sys,snd_bgm_GM093,snd_sfx_atmos_aozora_d,snd_sfx_atmos_aozora_d
