id,region_id,effect_type,min_pt,max_pt,add_value
1,1,2,0,299,0
2,1,2,300,599,3
3,1,2,600,899,5
4,1,2,900,1199,7
5,1,2,1200,1499,9
6,1,2,1500,9999,10
7,2,2,0,299,0
8,2,2,300,599,3
9,2,2,600,899,5
10,2,2,900,1199,7
11,2,2,1200,1499,9
12,2,2,1500,9999,10
13,3,2,0,299,0
14,3,2,300,599,3
15,3,2,600,899,5
16,3,2,900,1199,7
17,3,2,1200,1499,9
18,3,2,1500,9999,10
19,4,2,0,299,0
20,4,2,300,599,3
21,4,2,600,899,5
22,4,2,900,1199,7
23,4,2,1200,1499,9
24,4,2,1500,9999,10
25,5,2,0,299,0
26,5,2,300,599,3
27,5,2,600,899,5
28,5,2,900,1199,7
29,5,2,1200,1499,9
30,5,2,1500,9999,10
31,6,4,0,599,0
32,6,4,600,1199,3
33,6,4,1200,1799,5
34,6,4,1800,2399,7
35,6,4,2400,2999,9
36,6,4,3000,9999,10
37,7,4,0,599,0
38,7,4,600,1199,3
39,7,4,1200,1799,5
40,7,4,1800,2399,7
41,7,4,2400,2999,9
42,7,4,3000,9999,10
43,8,4,0,599,0
44,8,4,600,1199,3
45,8,4,1200,1799,5
46,8,4,1800,2399,7
47,8,4,2400,2999,9
48,8,4,3000,9999,10
49,9,4,0,599,0
50,9,4,600,1199,3
51,9,4,1200,1799,5
52,9,4,1800,2399,7
53,9,4,2400,2999,9
54,9,4,3000,9999,10
55,10,4,0,599,0
56,10,4,600,1199,3
57,10,4,1200,1799,5
58,10,4,1800,2399,7
59,10,4,2400,2999,9
60,10,4,3000,9999,10
61,11,4,0,699,0
62,11,4,700,1399,3
63,11,4,1400,2099,5
64,11,4,2100,2799,7
65,11,4,2800,3499,9
66,11,4,3500,9999,10
67,11,21,0,699,0
68,11,21,700,1399,3
69,11,21,1400,2099,5
70,11,21,2100,2799,7
71,11,21,2800,3499,9
72,11,21,3500,9999,10
73,12,4,0,699,0
74,12,4,700,1399,3
75,12,4,1400,2099,5
76,12,4,2100,2799,7
77,12,4,2800,3499,9
78,12,4,3500,9999,10
79,12,21,0,699,0
80,12,21,700,1399,3
81,12,21,1400,2099,5
82,12,21,2100,2799,7
83,12,21,2800,3499,9
84,12,21,3500,9999,10
85,13,4,0,699,0
86,13,4,700,1399,3
87,13,4,1400,2099,5
88,13,4,2100,2799,7
89,13,4,2800,3499,9
90,13,4,3500,9999,10
91,13,21,0,699,0
92,13,21,700,1399,3
93,13,21,1400,2099,5
94,13,21,2100,2799,7
95,13,21,2800,3499,9
96,13,21,3500,9999,10
97,14,4,0,699,0
98,14,4,700,1399,3
99,14,4,1400,2099,5
100,14,4,2100,2799,7
101,14,4,2800,3499,9
102,14,4,3500,9999,10
103,14,21,0,699,0
104,14,21,700,1399,3
105,14,21,1400,2099,5
106,14,21,2100,2799,7
107,14,21,2800,3499,9
108,14,21,3500,9999,10
109,15,4,0,699,0
110,15,4,700,1399,3
111,15,4,1400,2099,5
112,15,4,2100,2799,7
113,15,4,2800,3499,9
114,15,4,3500,9999,10
115,15,21,0,699,0
116,15,21,700,1399,3
117,15,21,1400,2099,5
118,15,21,2100,2799,7
119,15,21,2800,3499,9
120,15,21,3500,9999,10
121,16,4,0,699,0
122,16,4,700,1399,3
123,16,4,1400,2099,5
124,16,4,2100,2799,7
125,16,4,2800,3499,9
126,16,4,3500,9999,10
127,16,21,0,699,0
128,16,21,700,1399,3
129,16,21,1400,2099,5
130,16,21,2100,2799,7
131,16,21,2800,3499,9
132,16,21,3500,9999,10
133,17,4,0,699,0
134,17,4,700,1399,3
135,17,4,1400,2099,5
136,17,4,2100,2799,7
137,17,4,2800,3499,9
138,17,4,3500,9999,10
139,17,21,0,699,0
140,17,21,700,1399,3
141,17,21,1400,2099,5
142,17,21,2100,2799,7
143,17,21,2800,3499,9
144,17,21,3500,9999,10
145,18,4,0,699,0
146,18,4,700,1399,3
147,18,4,1400,2099,5
148,18,4,2100,2799,7
149,18,4,2800,3499,9
150,18,4,3500,9999,10
151,18,21,0,699,0
152,18,21,700,1399,3
153,18,21,1400,2099,5
154,18,21,2100,2799,7
155,18,21,2800,3499,9
156,18,21,3500,9999,10
157,19,4,0,699,0
158,19,4,700,1399,3
159,19,4,1400,2099,5
160,19,4,2100,2799,7
161,19,4,2800,3499,9
162,19,4,3500,9999,10
163,19,21,0,699,0
164,19,21,700,1399,3
165,19,21,1400,2099,5
166,19,21,2100,2799,7
167,19,21,2800,3499,9
168,19,21,3500,9999,10
169,20,4,0,699,0
170,20,4,700,1399,3
171,20,4,1400,2099,5
172,20,4,2100,2799,7
173,20,4,2800,3499,9
174,20,4,3500,9999,10
175,20,21,0,699,0
176,20,21,700,1399,3
177,20,21,1400,2099,5
178,20,21,2100,2799,7
179,20,21,2800,3499,9
180,20,21,3500,9999,10
