id,target_type,card_id,count,item_category_1,item_id_1,item_num_1
1,8,100101,1,20,10001,1
2,8,100102,1,20,10002,1
3,8,100103,1,20,10069,1
4,8,100201,1,20,10003,1
5,8,100301,1,20,10004,1
6,8,100302,1,20,10005,1
7,8,100401,1,20,10006,1
8,8,100402,1,20,10007,1
9,8,100501,1,20,10008,1
10,8,100502,1,20,10070,1
11,8,100601,1,20,10009,1
12,8,100602,1,20,10010,1
13,8,100701,1,20,10011,1
14,8,100702,1,20,10071,1
15,8,100801,1,20,10012,1
16,8,100802,1,20,10072,1
17,8,100901,1,20,10013,1
18,8,100902,1,20,10073,1
19,8,101001,1,20,10014,1
20,8,101002,1,20,10074,1
21,8,101101,1,20,10015,1
22,8,101102,1,20,10016,1
23,8,101201,1,20,10017,1
24,8,101301,1,20,10018,1
25,8,101302,1,20,10019,1
26,8,101303,1,20,10075,1
27,8,101401,1,20,10020,1
28,8,101402,1,20,10021,1
29,8,101501,1,20,10022,1
30,8,101502,1,20,10023,1
31,8,101601,1,20,10024,1
32,8,101602,1,20,10076,1
33,8,101701,1,20,10025,1
34,8,101702,1,20,10026,1
35,8,101801,1,20,10027,1
36,8,101802,1,20,10028,1
37,8,101901,1,20,10029,1
38,8,101902,1,20,10077,1
39,8,102001,1,20,10030,1
40,8,102002,1,20,10078,1
41,8,102101,1,20,10031,1
42,8,102102,1,20,10079,1
43,8,102201,1,20,10032,1
44,8,102202,1,20,10080,1
45,8,102301,1,20,10033,1
46,8,102302,1,20,10034,1
47,8,102401,1,20,10035,1
48,8,102402,1,20,10036,1
49,8,102501,1,20,10037,1
50,8,102601,1,20,10038,1
51,8,102602,1,20,10039,1
52,8,102701,1,20,10040,1
53,8,102702,1,20,10081,1
54,8,102801,1,20,10041,1
55,8,102901,1,20,10082,1
56,8,103001,1,20,10042,1
57,8,103002,1,20,10043,1
58,8,103101,1,20,10083,1
59,8,103102,1,20,10084,1
60,8,103201,1,20,10044,1
61,8,103301,1,20,10045,1
62,8,103401,1,20,10085,1
63,8,103402,1,20,10086,1
64,8,103501,1,20,10046,1
65,8,103502,1,20,10087,1
66,8,103601,1,20,10088,1
67,8,103701,1,20,10047,1
68,8,103702,1,20,10048,1
69,8,103801,1,20,10049,1
70,8,103802,1,20,10089,1
71,8,103901,1,20,10050,1
72,8,104001,1,20,10051,1
73,8,104002,1,20,10052,1
74,8,104101,1,20,10053,1
75,8,104201,1,20,10090,1
76,8,104301,1,20,10091,1
77,8,104401,1,20,10092,1
78,8,104501,1,20,10054,1
79,8,104502,1,20,10055,1
80,8,104601,1,20,10056,1
81,8,104602,1,20,10093,1
82,8,104701,1,20,10094,1
83,8,104801,1,20,10057,1
84,8,104901,1,20,10095,1
85,8,105001,1,20,10058,1
86,8,105002,1,20,10096,1
87,8,105101,1,20,10097,1
88,8,105201,1,20,10059,1
89,8,105202,1,20,10060,1
90,8,105301,1,20,10098,1
91,8,105601,1,20,10061,1
92,8,105602,1,20,10062,1
93,8,105801,1,20,10063,1
94,8,105802,1,20,10099,1
95,8,105901,1,20,10064,1
96,8,105902,1,20,10100,1
97,8,106001,1,20,10065,1
98,8,106002,1,20,10101,1
99,8,106101,1,20,10066,1
100,8,106102,1,20,10102,1
101,8,106201,1,20,10103,1
102,8,106401,1,20,10104,1
103,8,106501,1,20,10105,1
104,8,106701,1,20,10106,1
105,8,106702,1,20,10107,1
106,8,106801,1,20,10108,1
107,8,106802,1,20,10109,1
108,8,106901,1,20,10067,1
109,8,107101,1,20,10068,1
110,8,107201,1,20,10110,1
111,8,107401,1,20,10111,1
112,8,107801,1,20,10112,1
113,8,108701,1,20,10113,1
114,8,109801,1,20,10114,1
115,8,109901,1,20,10115,1
116,8,110001,1,20,10116,1
117,8,100202,1,20,10117,1
118,8,100303,1,20,10118,1
119,8,100703,1,20,10119,1
120,8,101202,1,20,10120,1
121,8,102502,1,20,10121,1
122,8,102902,1,20,10122,1
123,8,103202,1,20,10123,1
124,8,103602,1,20,10124,1
125,8,103902,1,20,10125,1
126,8,104102,1,20,10126,1
127,8,104802,1,20,10127,1
128,8,105102,1,20,10128,1
129,8,105302,1,20,10129,1
130,8,105401,1,20,10130,1
131,8,105501,1,20,10131,1
132,8,105701,1,20,10132,1
133,8,106003,1,20,10133,1
134,8,106202,1,20,10134,1
135,8,106402,1,20,10135,1
136,8,106601,1,20,10136,1
137,8,106703,1,20,10137,1
138,8,106803,1,20,10138,1
139,8,106902,1,20,10139,1
140,8,107001,1,20,10140,1
141,8,107102,1,20,10141,1
142,8,107402,1,20,10142,1
143,8,107601,1,20,10143,1
144,8,107701,1,20,10144,1
145,8,108301,1,20,10145,1
146,8,108302,1,20,10146,1
147,8,108401,1,20,10147,1
148,8,108501,1,20,10148,1
149,8,108601,1,20,10149,1
150,8,108801,1,20,10150,1
151,8,108901,1,20,10151,1
152,8,109101,1,20,10152,1
153,8,109301,1,20,10153,1
154,8,110401,1,20,10154,1
155,8,110501,1,20,10155,1
156,8,110601,1,20,10156,1
157,8,110701,1,20,10157,1
158,8,110801,1,20,10158,1
159,8,106301,1,20,10159,1
160,8,108001,1,20,10160,1
161,8,110901,1,20,10161,1
162,8,108502,1,20,10162,1
163,8,106502,1,20,10163,1
164,8,103503,1,20,10164,1
165,8,104503,1,20,10165,1
166,8,107202,1,20,10166,1
167,8,110201,1,20,10167,1
168,8,103203,1,20,10168,1
169,8,108201,1,20,10169,1
170,8,106103,1,20,10170,1
171,8,104402,1,20,10171,1
172,8,109401,1,20,10172,1
173,8,111901,1,20,10173,1
174,8,103003,1,20,10174,1
175,8,112001,1,20,10175,1
176,8,103703,1,20,10176,1
177,8,109902,1,20,10177,1
178,8,111601,1,20,10178,1
179,8,110502,1,20,10179,1
180,8,104702,1,20,10180,1
181,8,111001,1,20,10181,1
182,8,112101,1,20,10182,1
183,8,104202,1,20,10183,1
184,8,102403,1,20,10184,1
185,8,112401,1,20,10185,1
186,8,102303,1,20,10186,1
187,8,105003,1,20,10187,1
188,8,111101,1,20,10188,1
189,8,107702,1,20,10189,1
190,8,103302,1,20,10190,1
191,8,111701,1,20,10191,1
192,8,107901,1,20,10192,1
193,8,107301,1,20,10193,1
194,8,101103,1,20,10194,1
195,8,110402,1,20,10195,1
196,8,105702,1,20,10196,1
197,8,100403,1,20,10197,1
198,8,108702,1,20,10198,1
199,8,107802,1,20,10199,1
200,8,111501,1,20,10200,1
201,8,113101,1,20,10201,1
202,8,109601,1,20,10202,1
203,8,110702,1,20,10203,1
204,8,108402,1,20,10204,1
205,8,107002,1,20,10205,1
206,8,112701,1,20,10206,1
207,8,109802,1,20,10207,1
208,8,104603,1,20,10208,1
209,8,109001,1,20,10209,1
210,8,113201,1,20,10210,1
211,8,108602,1,20,10211,1
212,8,111002,1,20,10212,1
213,8,113301,1,20,10213,1
214,8,104003,1,20,10214,1
215,8,103103,1,20,10215,1
216,8,111301,1,20,10216,1
217,8,110902,1,20,10217,1
218,8,108802,1,20,10218,1
219,8,108902,1,20,10219,1
220,8,109102,1,20,10220,1
221,8,109701,1,20,10221,1
222,8,109302,1,20,10222,1
223,8,110602,1,20,10223,1
224,8,108101,1,20,10224,1
225,8,109501,1,20,10225,1
226,8,102802,1,20,10226,1
227,8,105502,1,20,10227,1
