id,card_type,card_id,additional_piece_num,start_date,end_date
1,1,100101,60,1609480800,2524661999
2,1,100201,60,1609480800,2524661999
3,1,100301,60,1609480800,2524661999
4,1,100401,60,1609480800,2524661999
5,1,100601,60,1609480800,2524661999
6,1,101001,60,1609480800,2524661999
7,1,101301,60,1609480800,2524661999
8,1,101701,60,1609480800,2524661999
9,1,103001,60,1609480800,2524661999
10,2,30001,0,1609480800,2524661999
11,2,30002,0,1609480800,2524661999
12,2,30003,0,1609480800,2524661999
13,2,30004,0,1609480800,2524661999
14,2,30005,0,1609480800,2524661999
15,2,30006,0,1609480800,2524661999
16,2,30007,0,1609480800,2524661999
17,2,30008,0,1609480800,2524661999
18,2,30009,0,1609480800,2524661999
19,2,30010,0,1609480800,2524661999
20,2,30011,0,1609480800,2524661999
21,2,30012,0,1609480800,2524661999
22,2,30013,0,1609480800,2524661999
23,2,30014,0,1609480800,2524661999
24,2,30015,0,1609480800,2524661999
25,2,30016,0,1609480800,2524661999
26,2,30017,0,1609480800,2524661999
27,2,30018,0,1609480800,2524661999
28,2,30020,0,1609480800,2524661999
29,2,30021,0,1609480800,2524661999
30,1,101501,60,1614654000,2524661999
31,2,30024,0,1614654000,2524661999
32,1,102601,60,1615258800,2524661999
33,2,30026,0,1615258800,2524661999
34,1,102301,60,1616036400,2524661999
35,2,30027,0,1616036400,2524661999
36,1,100302,60,1617073200,2524661999
37,1,101302,60,1617073200,2524661999
38,2,30028,0,1617073200,2524661999
39,2,30029,0,1617073200,2524661999
40,1,103801,60,1618455600,2524661999
41,2,30031,0,1618455600,2524661999
42,1,105001,60,1619406000,2524661999
43,2,30032,0,1619406000,2524661999
44,1,104601,60,1620270000,2524661999
45,1,101601,60,1621220400,2524661999
46,2,30038,0,1621220400,2524661999
47,1,102402,60,1622170800,2524661999
48,1,101802,60,1622170800,2524661999
49,2,30039,0,1622170800,2524661999
50,2,30040,0,1622170800,2524661999
51,1,102001,60,1623294000,2524661999
52,1,101201,60,1624244400,2524661999
53,2,30042,0,1624244400,2524661999
54,1,101402,60,1624935600,2524661999
55,1,101102,60,1624935600,2524661999
56,2,30055,0,1624935600,2524661999
57,2,30056,0,1624935600,2524661999
58,1,100501,60,1626058800,2524661999
59,2,30048,0,1626058800,2524661999
60,1,104001,60,1626750000,2524661999
61,1,100102,60,1627527600,2524661999
62,1,100402,60,1627527600,2524661999
63,2,30045,0,1627527600,2524661999
64,2,30046,0,1627527600,2524661999
65,1,105801,60,1628650800,2524661999
66,1,103701,60,1629428400,2524661999
67,2,30054,0,1629428400,2524661999
68,1,105602,60,1630292400,2524661999
69,2,30034,0,1630292400,2524661999
70,2,30036,0,1630292400,2524661999
71,1,102801,60,1631242800,2524661999
72,1,101901,60,1632106800,2524661999
73,2,30063,0,1632106800,2524661999
74,1,103002,60,1632884400,2524661999
75,1,104502,60,1632884400,2524661999
76,2,30064,0,1632884400,2524661999
77,2,30065,0,1632884400,2524661999
78,1,103901,60,1633921200,2524661999
79,1,102501,60,1634698800,2524661999
80,2,30043,0,1634698800,2524661999
81,1,101702,60,1635390000,2524661999
82,1,104002,60,1635390000,2524661999
83,2,30068,0,1635390000,2524661999
84,2,30069,0,1635390000,2524661999
85,1,104801,60,1636340400,2524661999
86,1,105901,60,1637290800,2524661999
87,2,30071,0,1637290800,2524661999
88,1,100602,60,1638154800,2524661999
89,1,102302,60,1638154800,2524661999
90,2,30072,0,1638154800,2524661999
91,2,30073,0,1638154800,2524661999
92,1,102201,60,1639450800,2524661999
93,2,30075,0,1639450800,2524661999
94,1,102101,60,1640142000,2524661999
95,1,105202,60,1640919600,2524661999
96,1,101502,60,1640919600,2524661999
97,2,30077,0,1640919600,2524661999
98,2,30078,0,1640919600,2524661999
99,2,30080,0,1641870000,2524661999
100,1,106901,60,1642647600,2524661999
101,1,102602,60,1643338800,2524661999
102,1,103702,60,1643338800,2524661999
103,2,30082,0,1643338800,2524661999
104,2,30083,0,1643338800,2524661999
105,1,107101,60,1644289200,2524661999
106,2,30085,0,1644289200,2524661999
107,1,103301,60,1644980400,2524661999
108,1,106801,60,1645671600,2524661999
109,2,30086,0,1645671600,2524661999
110,1,106701,60,1646622000,2524661999
111,2,30089,0,1646622000,2524661999
112,1,107401,60,1647572400,2524661999
113,1,102002,60,1648522800,2524661999
114,1,100502,60,1648522800,2524661999
115,2,30090,0,1648522800,2524661999
116,2,30091,0,1648522800,2524661999
117,1,105101,60,1649646000,2524661999
118,2,30093,0,1649646000,2524661999
119,1,107201,60,1650337200,2524661999
120,1,106002,60,1651114800,2524661999
121,1,106102,60,1651114800,2524661999
122,2,30094,0,1651114800,2524661999
123,2,30095,0,1651114800,2524661999
124,1,103101,60,1652151600,2524661999
125,2,30097,0,1652151600,2524661999
126,1,106401,60,1653015600,2524661999
127,1,103802,60,1653879600,2524661999
128,1,102202,60,1653879600,2524661999
129,2,30098,0,1653879600,2524661999
130,2,30099,0,1653879600,2524661999
131,1,103401,60,1654830000,2524661999
132,1,104401,60,1655694000,2524661999
133,2,30053,0,1655694000,2524661999
134,1,101002,60,1656558000,2524661999
135,1,105902,60,1656558000,2524661999
136,2,30102,0,1656558000,2524661999
137,2,30103,0,1656558000,2524661999
138,1,103601,60,1657508400,2524661999
139,2,30106,0,1657508400,2524661999
140,2,30067,0,1658286000,2524661999
141,1,101303,60,1659063600,2524661999
142,1,100702,60,1659063600,2524661999
143,2,30107,0,1659063600,2524661999
144,2,30108,0,1659063600,2524661999
145,1,105301,60,1660100400,2524661999
146,1,109801,60,1660878000,2524661999
147,2,30110,0,1660878000,2524661999
148,1,104602,60,1661310000,2524661999
149,2,30052,0,1661310000,2524661999
150,2,30101,0,1661310000,2524661999
151,1,103502,60,1661742000,2524661999
152,1,105002,60,1661742000,2524661999
153,2,30111,0,1661742000,2524661999
154,2,30112,0,1661742000,2524661999
155,1,102901,60,1662951600,2524661999
156,1,104201,60,1663642800,2524661999
157,2,30114,0,1663642800,2524661999
158,1,101902,60,1664420400,2524661999
159,1,105802,60,1664420400,2524661999
160,2,30115,0,1664420400,2524661999
161,2,30116,0,1664420400,2524661999
162,1,108701,60,1665457200,2524661999
163,1,107801,60,1666148400,2524661999
164,2,30118,0,1666148400,2524661999
165,1,102102,60,1666926000,2524661999
166,1,103402,60,1666926000,2524661999
167,2,30146,0,1666926000,2524661999
