id,scenario_id,preview_order,cue_name,cuesheet_name
1,1,1,snd_bgm_GM034_preview,snd_bgm_GM034
2,1,2,snd_bgm_GM035_preview,snd_bgm_GM035
3,2,1,snd_bgm_GM123_preview,snd_bgm_GM123
4,2,2,snd_bgm_GM124_preview,snd_bgm_GM124
5,2,3,snd_bgm_GM125_preview,snd_bgm_GM125
6,4,1,snd_bgm_GM169_preview,snd_bgm_GM169
7,4,2,snd_bgm_GM170_preview,snd_bgm_GM170
8,3,1,snd_bgm_GM220_preview,snd_bgm_GM220
9,3,2,snd_bgm_GM221_preview,snd_bgm_GM221
10,5,1,snd_bgm_GM257_preview,snd_bgm_GM257
11,5,2,snd_bgm_GM258_preview,snd_bgm_GM258
12,6,1,snd_bgm_GM304_preview,snd_bgm_GM304
13,6,2,snd_bgm_GM305_preview,snd_bgm_GM305
14,7,1,snd_bgm_GM326_preview,snd_bgm_GM326
15,7,2,snd_bgm_GM327_preview,snd_bgm_GM327
16,8,1,snd_bgm_GM367_preview,snd_bgm_GM367
17,8,2,snd_bgm_GM368_preview,snd_bgm_GM368
18,9,1,snd_bgm_GM379_preview,snd_bgm_GM379
19,9,2,snd_bgm_GM380_preview,snd_bgm_GM380
20,10,1,snd_bgm_GM400_preview,snd_bgm_GM400
21,10,2,snd_bgm_GM401_preview,snd_bgm_GM401
22,11,1,snd_bgm_GM419_preview,snd_bgm_GM419
23,11,2,snd_bgm_GM420_preview,snd_bgm_GM420
24,12,1,snd_bgm_GM444_preview,snd_bgm_GM444
25,12,2,snd_bgm_GM445_preview,snd_bgm_GM445
26,13,1,snd_bgm_GM454_preview,snd_bgm_GM454
27,13,2,snd_bgm_GM455_preview,snd_bgm_GM455
28,14,1,snd_bgm_GM474_preview,snd_bgm_GM474
29,14,2,snd_bgm_GM475_preview,snd_bgm_GM475
