id,reward_set,is_pickup,base_point,reward_item_id,reward_item_category,reward_item_num
10010001,1001,0,400,59,91,8000
10010002,1001,0,800,1,11,3
10010003,1001,0,1200,32,20,1
10010004,1001,0,1600,59,91,8000
10010005,1001,0,2000,4,11,3
10010006,1001,0,2400,116,150,1
10010007,1001,0,2800,110,30,2500
10010008,1001,0,3200,7,11,3
10010009,1001,0,3600,34,21,1
10010010,1001,0,4000,59,91,8000
10010011,1001,0,4400,10,11,3
10010012,1001,0,4800,59,91,8000
10010013,1001,0,5200,110,30,2500
10010014,1001,0,5600,13,11,3
10010015,1001,0,6000,95,34,1
10010016,1001,0,6400,59,91,8000
10010017,1001,0,6800,1,11,3
10010018,1001,0,7200,110,30,2500
10010019,1001,0,7600,110,30,2500
10010020,1001,0,8000,4,11,3
10010021,1001,0,8400,59,91,8000
10010022,1001,0,8800,110,30,2500
10010023,1001,0,9200,7,11,3
10010024,1001,0,9600,59,91,8000
10010025,1001,0,10000,110,30,2500
10010026,1001,0,10400,10,11,3
10010027,1001,0,10800,110,30,2500
10010028,1001,0,11200,110,30,2500
10010029,1001,0,11600,13,11,3
10010030,1001,0,12000,32,20,1
10010031,1001,0,12400,59,91,8000
10010032,1001,0,12800,1,11,3
10010033,1001,0,13200,116,150,1
10010034,1001,0,13600,59,91,8000
10010035,1001,0,14000,4,11,3
10010036,1001,0,14400,59,91,8000
10010037,1001,0,14800,110,30,2500
10010038,1001,0,15200,7,11,3
10010039,1001,0,15600,34,21,1
10010040,1001,0,16000,110,30,2500
10010041,1001,0,16400,10,11,3
10010042,1001,0,16800,95,34,1
10010043,1001,0,17200,110,30,2500
10010044,1001,0,17600,13,11,3
10010045,1001,0,18000,1,11,3
10010046,1001,0,18400,4,11,3
10010047,1001,0,18800,7,11,3
10010048,1001,0,19200,10,11,3
10010049,1001,0,19600,13,11,3
10010050,1001,0,20000,44,93,1
10010051,1001,0,20400,116,150,1
10010052,1001,0,20800,59,91,8000
10010053,1001,0,21200,1,11,3
10010054,1001,0,21600,90,11,1
10010055,1001,0,22000,110,30,2500
10010056,1001,0,22400,4,11,3
10010057,1001,0,22800,116,150,1
10010058,1001,0,23200,59,91,8000
10010059,1001,0,23600,7,11,3
10010060,1001,0,24000,89,11,1
10010061,1001,0,24400,59,91,8000
10010062,1001,0,24800,10,11,3
10010063,1001,0,25200,110,30,2500
10010064,1001,0,25600,43,90,10
10010065,1001,0,26000,13,11,3
10010066,1001,0,26400,92,11,1
10010067,1001,0,26800,110,30,2500
10010068,1001,0,27200,1,11,3
10010069,1001,0,27600,110,30,2500
10010070,1001,0,28000,95,34,1
10010071,1001,0,28400,4,11,3
10010072,1001,0,28800,73,11,1
10010073,1001,0,29200,110,30,2500
