audience_id,chara_face_model,chara_skin_color,chara_hair_model,chara_hair_color,prop_id_1,prop_attach_node_name_type_1,prop_id_2,prop_attach_node_name_type_2,chara_height,shape,chara_bust_size,dress_id,dress_color_id
1,0,2,0,1,0,0,0,0,153,0,1,17,1
2,0,3,1,2,0,0,0,0,156,1,2,15,2
3,0,2,1,3,0,0,0,0,159,2,3,17,3
4,0,3,0,4,0,0,0,0,161,0,4,15,4
5,0,2,0,5,0,0,0,0,153,1,1,17,5
6,0,2,1,6,0,0,0,0,156,2,3,15,6
7,0,3,1,7,0,0,0,0,159,1,1,17,7
8,0,3,0,8,0,0,0,0,161,2,3,15,8
9,0,2,1,9,0,0,0,0,156,1,1,17,9
10,0,3,1,10,0,0,0,0,150,2,3,15,10
11,0,2,0,11,0,0,0,0,159,0,3,15,11
12,0,3,1,12,0,0,0,0,161,1,4,17,12
13,0,2,1,13,0,0,0,0,153,0,1,15,13
14,0,3,0,14,0,0,0,0,160,1,2,17,14
15,0,2,0,15,0,0,0,0,155,2,3,15,15
16,0,3,1,16,0,0,0,0,148,0,4,17,16
17,0,2,0,17,0,0,0,0,157,1,1,15,17
101,0,3,0,101,0,0,0,0,156,0,2,18,101
102,0,2,1,102,0,0,0,0,159,1,3,16,102
103,0,3,1,103,0,0,0,0,161,2,3,18,103
104,0,2,0,104,0,0,0,0,153,0,1,16,104
105,0,3,0,105,0,0,0,0,156,1,2,18,105
106,0,2,1,106,0,0,0,0,159,2,3,16,106
107,0,3,1,107,0,0,0,0,159,1,1,18,107
108,0,3,0,108,0,0,0,0,161,2,3,16,108
109,0,2,1,109,0,0,0,0,156,1,1,18,109
110,0,3,1,110,0,0,0,0,150,2,3,16,110
111,0,2,0,111,0,0,0,0,161,0,4,16,111
112,0,3,1,112,0,0,0,0,153,1,1,18,112
113,0,2,1,113,0,0,0,0,153,0,1,16,113
114,0,3,0,114,0,0,0,0,160,1,2,18,114
115,0,2,0,115,0,0,0,0,155,2,3,16,115
116,0,3,1,116,0,0,0,0,148,0,4,18,116
117,0,2,0,117,0,0,0,0,157,1,1,16,117
201,0,3,0,201,0,0,0,0,159,0,3,23,201
202,0,2,1,202,0,0,0,0,161,1,4,23,202
203,0,2,0,203,0,0,0,0,153,0,3,23,203
204,0,3,1,204,0,0,0,0,156,1,4,23,204
205,0,3,0,205,0,0,0,0,156,0,3,23,205
1001,1,2,2,1001,0,0,0,0,165,0,0,19,1001
1002,1,3,2,1002,0,0,0,0,168,0,0,21,1002
1003,1,2,3,1003,0,0,0,0,170,0,0,19,1003
1004,1,3,3,1004,0,0,0,0,175,0,0,21,1004
1005,1,2,2,1005,0,0,0,0,179,0,0,19,1005
1006,1,3,2,1006,0,0,0,0,165,0,0,21,1006
1007,1,2,3,1007,0,0,0,0,168,0,0,19,1007
1008,1,2,3,1008,0,0,0,0,170,0,0,21,1008
1009,1,3,2,1009,0,0,0,0,175,0,0,19,1009
1010,1,2,2,1010,0,0,0,0,169,0,0,21,1010
1011,1,2,2,1011,0,3,0,0,170,0,0,21,1011
1012,1,2,3,1012,0,0,0,0,172,0,0,19,1012
1013,1,3,2,1013,0,0,0,0,162,0,0,21,1013
1014,1,2,3,1014,0,0,0,0,167,0,0,19,1014
1015,1,3,2,1015,0,0,0,0,173,0,0,21,1015
1016,1,2,3,1016,0,0,0,0,166,0,0,19,1016
1017,1,3,3,1017,0,0,0,0,167,0,0,21,1017
1101,1,3,2,1101,0,0,0,0,175,0,0,20,1101
1102,1,2,2,1102,0,0,0,0,179,0,0,22,1102
1103,1,3,3,1103,0,0,0,0,165,0,0,20,1103
1104,1,2,3,1104,0,0,0,0,168,0,0,22,1104
