id,heroes_id,stage,stage_step,race_num,start_date,end_date
1,1,0,0,0,1683687600,1683860399
2,1,1,1,5,1683860400,1684378799
3,1,1,2,0,1684378800,1684385999
4,1,2,1,0,1684386000,1684457999
5,1,2,2,0,1684458000,1684465199
6,1,2,3,0,1684465200,1684551599
7,1,2,4,0,1684551600,1684637999
8,2,0,0,0,1688958000,1689217199
9,2,1,1,5,1689217200,1689735599
10,2,1,2,0,1689735600,1689742799
11,2,2,1,0,1689742800,1689814799
12,2,2,2,0,1689814800,1689821999
13,2,2,3,0,1689822000,1689908399
14,2,2,4,0,1689908400,1689994799
15,3,0,0,0,1694401200,1694573999
16,3,1,1,5,1694574000,1695092399
17,3,1,2,0,1695092400,1695099599
18,3,2,1,0,1695099600,1695171599
19,3,2,2,0,1695171600,1695178799
20,3,2,3,0,1695178800,1695265199
21,3,2,4,0,1695265200,1695351599
22,4,0,0,0,1699498800,1699757999
23,4,1,1,5,1699758000,1700276399
24,4,1,2,0,1700276400,1700283599
25,4,2,1,0,1700283600,1700355599
26,4,2,2,0,1700355600,1700362799
27,4,2,3,0,1700362800,1700449199
28,4,2,4,0,1700449200,1700535599
29,5,0,0,0,1704769200,1705028399
30,5,1,1,5,1705028400,1705546799
31,5,1,2,0,1705546800,1705553999
32,5,2,1,0,1705554000,1705625999
33,5,2,2,0,1705626000,1705633199
34,5,2,3,0,1705633200,1705719599
35,5,2,4,0,1705719600,1705805999
36,6,0,0,0,1715310000,1715655599
37,6,1,1,5,1715655600,1716173999
38,6,1,2,0,1716174000,1716181199
39,6,2,1,0,1716181200,1716253199
40,6,2,2,0,1716253200,1716260399
41,6,2,3,0,1716260400,1716346799
42,6,2,4,0,1716346800,1716433199
43,7,0,0,0,1721358000,1721617199
44,7,1,1,5,1721617200,1722135599
45,7,1,2,0,1722135600,1722142799
46,7,2,1,0,1722142800,1722214799
47,7,2,2,0,1722214800,1722221999
48,7,2,3,0,1722222000,1722308399
49,7,2,4,0,1722308400,1722394799
50,8,0,0,0,1726801200,1727060399
51,8,1,1,5,1727060400,1727578799
52,8,1,2,0,1727578800,1727585999
53,8,2,1,0,1727586000,1727657999
54,8,2,2,0,1727658000,1727665199
55,8,2,3,0,1727665200,1727751599
56,8,2,4,0,1727751600,1727837999
57,9,0,0,0,1731898800,1732157999
58,9,1,1,5,1732158000,1732676399
59,9,1,2,0,1732676400,1732683599
60,9,2,1,0,1732683600,1732755599
61,9,2,2,0,1732755600,1732762799
62,9,2,3,0,1732762800,1732849199
63,9,2,4,0,1732849200,1732935599
64,10,0,0,0,1739415600,1739674799
65,10,1,1,5,1739674800,1740193199
66,10,1,2,0,1740193200,1740200399
67,10,2,1,0,1740200400,1740272399
68,10,2,2,0,1740272400,1740279599
69,10,2,3,0,1740279600,1740365999
70,10,2,4,0,1740366000,1740452399
71,11,0,0,0,1747796400,1748055599
72,11,1,1,5,1748055600,1748573999
73,11,1,2,0,1748574000,1748581199
74,11,2,1,0,1748581200,1748653199
75,11,2,2,0,1748653200,1748660399
76,11,2,3,0,1748660400,1748746799
77,11,2,4,0,1748746800,1748833199
78,12,0,0,0,1754967600,1755226799
79,12,1,1,5,1755226800,1755745199
80,12,1,2,0,1755745200,1755752399
81,12,2,1,0,1755752400,1755824399
82,12,2,2,0,1755824400,1755831599
83,12,2,3,0,1755831600,1755917999
84,12,2,4,0,1755918000,1756004399
85,13,0,0,0,1763434800,1763693999
86,13,1,1,5,1763694000,1764212399
87,13,1,2,0,1764212400,1764219599
88,13,2,1,0,1764219600,1764291599
89,13,2,2,0,1764291600,1764298799
90,13,2,3,0,1764298800,1764385199
91,13,2,4,0,1764385200,1764471599
92,14,0,0,0,1770865200,1771124399
93,14,1,1,5,1771124400,1771642799
94,14,1,2,0,1771642800,1771649999
95,14,2,1,0,1771650000,1771721999
96,14,2,2,0,1771722000,1771729199
97,14,2,3,0,1771729200,1771815599
98,14,2,4,0,1771815600,1771901999
99,15,0,0,0,1779159600,1779418799
100,15,1,1,5,1779418800,1779937199
101,15,1,2,0,1779937200,1779944399
102,15,2,1,0,1779944400,1780016399
103,15,2,2,0,1780016400,1780023599
104,15,2,3,0,1780023600,1780109999
105,15,2,4,0,1780110000,1780196399
