gacha_id,card_id,card_type,rarity,odds,is_pickup,recommend_order,is_prize_selectable
10001,102701,1,1,98750,0,0,0
10001,103201,1,1,98750,0,0,0
10001,103501,1,1,98750,0,0,0
10001,104101,1,1,98750,0,0,0
10001,105201,1,1,98750,0,0,0
10001,105601,1,1,98750,0,0,0
10001,106001,1,1,98750,0,0,0
10001,106101,1,1,98750,0,0,0
10001,100701,1,2,22500,0,0,0
10001,100801,1,2,22500,0,0,0
10001,100901,1,2,22500,0,0,0
10001,101101,1,2,22500,0,0,0
10001,101401,1,2,22500,0,0,0
10001,101801,1,2,22500,0,0,0
10001,102401,1,2,22500,0,0,0
10001,104501,1,2,22500,0,0,0
10001,100101,1,3,3334,1,800,0
10001,100201,1,3,3334,1,700,0
10001,100301,1,3,3334,1,600,0
10001,100401,1,3,3333,1,500,0
10001,100601,1,3,3333,1,400,0
10001,101001,1,3,3333,1,300,0
10001,101301,1,3,3333,1,200,0
10001,101701,1,3,3333,1,100,0
10001,103001,1,3,3333,1,50,0
10002,10001,2,1,16122,0,0,0
10002,10002,2,1,16122,0,0,0
10002,10003,2,1,16122,0,0,0
10002,10004,2,1,16122,0,0,0
10002,10005,2,1,16122,0,0,0
10002,10006,2,1,16122,0,0,0
10002,10007,2,1,16122,0,0,0
10002,10008,2,1,16122,0,0,0
10002,10009,2,1,16122,0,0,0
10002,10010,2,1,16122,0,0,0
10002,10011,2,1,16122,0,0,0
10002,10012,2,1,16122,0,0,0
10002,10013,2,1,16122,0,0,0
10002,10014,2,1,16122,0,0,0
10002,10015,2,1,16122,0,0,0
10002,10016,2,1,16122,0,0,0
10002,10017,2,1,16122,0,0,0
10002,10018,2,1,16122,0,0,0
10002,10019,2,1,16122,0,0,0
10002,10020,2,1,16122,0,0,0
10002,10021,2,1,16122,0,0,0
10002,10022,2,1,16122,0,0,0
10002,10023,2,1,16122,0,0,0
10002,10024,2,1,16122,0,0,0
10002,10025,2,1,16122,0,0,0
10002,10026,2,1,16122,0,0,0
10002,10027,2,1,16122,0,0,0
10002,10028,2,1,16123,0,0,0
10002,10029,2,1,16123,0,0,0
10002,10030,2,1,16123,0,0,0
10002,10031,2,1,16123,0,0,0
10002,10032,2,1,16123,0,0,0
10002,10033,2,1,16123,0,0,0
10002,10034,2,1,16123,0,0,0
10002,10035,2,1,16123,0,0,0
10002,10036,2,1,16123,0,0,0
10002,10037,2,1,16123,0,0,0
10002,10038,2,1,16123,0,0,0
10002,10039,2,1,16123,0,0,0
10002,10040,2,1,16123,0,0,0
10002,10041,2,1,16123,0,0,0
10002,10042,2,1,16123,0,0,0
10002,10043,2,1,16123,0,0,0
10002,10044,2,1,16123,0,0,0
10002,10045,2,1,16123,0,0,0
10002,10046,2,1,16123,0,0,0
10002,10047,2,1,16123,0,0,0
10002,10048,2,1,16123,0,0,0
10002,10049,2,1,16123,0,0,0
10002,20001,2,2,8572,0,0,0
10002,20002,2,2,8572,0,0,0
10002,20003,2,2,8572,0,0,0
10002,20004,2,2,8572,0,0,0
10002,20005,2,2,8572,0,0,0
10002,20006,2,2,8572,0,0,0
10002,20007,2,2,8572,0,0,0
10002,20008,2,2,8572,0,0,0
10002,20009,2,2,8572,0,0,0
10002,20010,2,2,8571,0,0,0
10002,20011,2,2,8571,0,0,0
10002,20012,2,2,8571,0,0,0
10002,20013,2,2,8571,0,0,0
10002,20014,2,2,8571,0,0,0
10002,20015,2,2,8571,0,0,0
10002,20016,2,2,8571,0,0,0
10002,20017,2,2,8571,0,0,0
10002,20018,2,2,8571,0,0,0
10002,20019,2,2,8571,0,0,0
10002,20020,2,2,8571,0,0,0
10002,20021,2,2,8571,0,0,0
10002,30001,2,3,1500,1,100,0
10002,30002,2,3,1500,1,99,0
10002,30003,2,3,1500,1,98,0
10002,30004,2,3,1500,1,97,0
10002,30005,2,3,1500,1,96,0
10002,30006,2,3,1500,1,95,0
10002,30007,2,3,1500,1,94,0
10002,30008,2,3,1500,1,93,0
10002,30009,2,3,1500,1,92,0
10002,30010,2,3,1500,1,91,0
10002,30011,2,3,1500,1,90,0
10002,30012,2,3,1500,1,89,0
10002,30013,2,3,1500,1,88,0
10002,30014,2,3,1500,1,87,0
10002,30015,2,3,1500,1,86,0
10002,30016,2,3,1500,1,85,0
10002,30017,2,3,1500,1,84,0
10002,30018,2,3,1500,1,83,0
10002,30020,2,3,1500,1,81,0
10002,30021,2,3,1500,1,80,0
20001,100101,1,3,111112,1,900,0
20001,100201,1,3,111111,1,800,0
20001,100301,1,3,111111,1,700,0
20001,100401,1,3,111111,1,600,0
20001,100601,1,3,111111,1,500,0
20001,101001,1,3,111111,1,400,0
20001,101301,1,3,111111,1,300,0
20001,101701,1,3,111111,1,200,0
20001,103001,1,3,111111,1,100,0
20002,30001,2,3,50000,1,50,0
20002,30002,2,3,50000,1,49,0
20002,30003,2,3,50000,1,48,0
20002,30004,2,3,50000,1,47,0
20002,30005,2,3,50000,1,46,0
20002,30006,2,3,50000,1,45,0
20002,30007,2,3,50000,1,44,0
20002,30008,2,3,50000,1,43,0
20002,30009,2,3,50000,1,42,0
20002,30010,2,3,50000,1,41,0
20002,30011,2,3,50000,1,40,0
20002,30012,2,3,50000,1,39,0
20002,30013,2,3,50000,1,38,0
20002,30014,2,3,50000,1,37,0
20002,30015,2,3,50000,1,36,0
20002,30016,2,3,50000,1,35,0
20002,30017,2,3,50000,1,34,0
20002,30018,2,3,50000,1,33,0
20002,30020,2,3,50000,1,31,0
20002,30021,2,3,50000,1,30,0
20003,100701,1,2,121250,0,0,0
20003,100801,1,2,121250,0,0,0
20003,100901,1,2,121250,0,0,0
20003,101101,1,2,121250,0,0,0
20003,101401,1,2,121250,0,0,0
20003,101801,1,2,121250,0,0,0
20003,102401,1,2,121250,0,0,0
20003,104501,1,2,121250,0,0,0
20003,100101,1,3,3333,1,800,0
20003,100201,1,3,3333,1,700,0
20003,100301,1,3,3333,1,600,0
20003,100401,1,3,3333,1,500,0
20003,100601,1,3,3333,1,400,0
