id,home_event_type,num,story_id,chara_id,offset
1,0,2,1012002,1054,100
2,0,1,1037002,1037,100
3,0,2,1037001,1037,100
4,0,1,1025002,1025,100
5,0,2,1045001,1045,100
6,0,2,1069001,1069,100
7,0,3,36,1027,100
8,0,2,1038001,1033,100
9,0,2,1033002,1015,100
10,0,2,1015002,1033,100
11,0,2,1033001,1038,100
12,0,2,1068001,1067,100
13,0,2,1067002,1013,100
14,0,2,1067002,1067,100
15,0,3,32,1051,100
16,0,1,1072003,1072,100
17,0,2,1031001,1031,100
18,0,3,13,1031,100
19,0,2,1031002,1031,100
20,0,2,1064001,1064,100
21,0,2,1064002,1064,100
22,0,2,1044001,1038,100
23,0,3,25,1039,100
24,0,3,28,1044,100
25,0,2,1036002,1022,100
26,0,3,24,1052,100
27,0,3,20,1035,100
28,0,3,3,1037,100
29,1,3,1054001,1054,100
30,1,3,1054001,1012,100
31,1,2,1022001,1022,100
32,0,2,1065001,1065,100
33,1,2,1011001,1011,100
34,1,2,1069001,1069,100
35,1,2,1028001,1054,100
36,0,1,1043002,1043,100
37,0,2,1043002,1043,100
38,0,3,27,1043,100
39,1,3,1023001,1023,100
40,1,2,1068002,1067,100
41,1,2,1087001,1087,100
42,0,2,1057002,1057,100
43,0,2,1085001,1093,100
44,0,3,57,1057,100
45,1,2,1014001,1042,100
46,1,2,1017001,1003,100
47,1,2,1033001,1033,100
48,1,2,1015001,1015,100
49,1,2,1037001,1037,100
50,1,2,1037002,1037,100
51,1,2,1071001,1069,100
52,1,3,1024001,1003,50
53,1,2,1058001,1015,100
54,1,2,1049001,1007,100
55,1,3,1065001,1071,100
56,0,1,1076002,1076,100
57,0,1,1076003,1076,100
58,0,2,1076001,1076,100
59,1,3,1042001,1039,100
60,1,3,1042001,1042,100
61,1,2,1074002,1074,100
62,1,2,1051002,1020,100
63,1,2,1032002,1032,100
64,1,2,1074001,1074,100
65,1,2,1041001,1069,100
66,1,3,1060001,1066,100
67,1,2,1060001,1003,100
68,1,3,1040001,1021,100
69,1,2,1061001,1020,100
70,0,2,1105002,1037,100
71,1,2,1002001,1002,100
72,1,2,1084002,1086,100
73,1,3,1001001,1011,100
74,1,3,1076001,1069,100
75,1,2,1105002,1037,100
76,1,3,1045001,1021,100
77,1,2,1039001,1061,100
78,0,2,1104001,1104,100
79,0,3,61,1104,100
80,0,2,1077001,1033,100
81,1,3,1011001,1020,100
82,1,3,1011001,1061,100
83,1,3,1069002,1076,100
84,1,2,1033002,1033,100
85,1,2,1093002,1093,100
86,1,3,1037001,1037,100
87,1,2,1013003,1007,100
88,1,3,1031002,1035,100
89,1,3,1065002,1093,100
90,1,3,1061001,1061,100
