id,race_instance_id,grade,order_min,order_max,point_num
1,0,100,1,1,1300
2,0,100,2,2,700
3,0,100,3,3,450
4,0,100,4,5,300
5,0,100,6,18,0
6,0,200,1,1,900
7,0,200,2,2,450
8,0,200,3,3,300
9,0,200,4,5,200
10,0,200,6,18,0
11,0,300,1,1,700
12,0,300,2,2,300
13,0,300,3,3,200
14,0,300,4,5,100
15,0,300,6,18,0
16,0,400,1,1,0
17,0,400,2,2,0
18,0,400,3,3,0
19,0,400,4,5,0
20,0,400,6,18,0
21,0,500,1,1,0
22,0,500,2,2,0
23,0,500,3,3,0
24,0,500,4,5,0
25,0,500,6,18,0
26,0,600,1,1,0
27,0,600,2,2,0
28,0,600,3,3,0
29,0,600,4,5,0
30,0,600,6,18,0
31,0,700,1,1,0
32,0,700,2,2,0
33,0,700,3,3,0
34,0,700,4,5,0
35,0,700,6,18,0
36,0,800,1,1,0
37,0,800,2,18,0
41,0,900,1,1,0
42,0,900,2,2,0
43,0,900,3,3,0
44,0,900,4,5,0
45,0,900,6,18,0
46,931001,0,1,1,1500
47,931001,0,2,2,900
48,931001,0,3,3,600
49,931001,0,4,5,400
50,931001,0,6,6,0
51,931001,0,7,7,0
52,931001,0,8,8,0
53,931001,0,9,9,0
54,931001,0,10,10,0
55,931001,0,11,11,0
56,931001,0,12,12,0
57,931001,0,13,13,0
58,931001,0,14,14,0
59,931001,0,15,15,0
60,931001,0,16,18,0
61,931002,0,1,1,1500
62,931002,0,2,2,900
63,931002,0,3,3,600
64,931002,0,4,5,400
65,931002,0,6,6,0
66,931002,0,7,7,0
67,931002,0,8,8,0
68,931002,0,9,9,0
69,931002,0,10,10,0
70,931002,0,11,11,0
71,931002,0,12,12,0
72,931002,0,13,13,0
73,931002,0,14,14,0
74,931002,0,15,15,0
75,931002,0,16,18,0
76,931003,0,1,1,1500
77,931003,0,2,2,900
78,931003,0,3,3,600
79,931003,0,4,5,400
80,931003,0,6,6,0
81,931003,0,7,7,0
82,931003,0,8,8,0
83,931003,0,9,9,0
84,931003,0,10,10,0
85,931003,0,11,11,0
86,931003,0,12,12,0
87,931003,0,13,13,0
88,931003,0,14,14,0
89,931003,0,15,15,0
90,931003,0,16,18,0
91,931004,0,1,1,1500
92,931004,0,2,2,900
93,931004,0,3,3,600
94,931004,0,4,5,400
95,931004,0,6,6,0
96,931004,0,7,7,0
97,931004,0,8,8,0
98,931004,0,9,9,0
99,931004,0,10,10,0
100,931004,0,11,11,0
101,931004,0,12,12,0
102,931004,0,13,13,0
103,931004,0,14,14,0
104,931004,0,15,15,0
105,931004,0,16,18,0
106,931201,0,1,1,2000
107,931201,0,2,2,1000
108,931201,0,3,3,600
109,931201,0,4,5,400
110,931201,0,6,18,0
111,931202,0,1,1,2000
112,931202,0,2,2,1000
113,931202,0,3,3,600
114,931202,0,4,5,400
115,931202,0,6,18,0
116,931203,0,1,1,3000
117,931203,0,2,2,1800
118,931203,0,3,3,1000
119,931203,0,4,5,800
120,931203,0,6,18,0
121,931204,0,1,1,0
122,931204,0,2,2,0
123,931204,0,3,3,0
124,931204,0,4,5,0
125,931204,0,6,18,0
