id,part_id,episode_index,prev_episode_index,next_episode_index,lock_reference_episode_id,story_number,display_type,story_type_1,story_id_1,story_type_2,story_id_2,story_type_3,story_id_3,story_type_4,story_id_4,story_type_5,story_id_5,lock_type_1,lock_value_1_1,lock_value_1_2,lock_type_2,lock_value_2_1,lock_value_2_2,lock_type_3,lock_value_3_1,lock_value_3_2,add_reward_category_1,add_reward_id_1,add_reward_num_1,add_reward_category_2,add_reward_id_2,add_reward_num_2,is_custom_load
101,1,1,0,2,0,1,0,3,20000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
102,1,2,1,3,0,2,0,1,20001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
103,1,3,2,4,0,3,0,1,20001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
104,1,4,3,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
105,1,5,4,6,0,4,0,1,20001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
106,1,6,5,7,0,5,0,1,20001041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
107,1,7,6,8,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
108,1,8,7,9,0,6,0,1,20001051,3,20001052,1,20001053,2,2,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
109,1,9,8,10,0,7,0,1,20001061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
110,1,10,9,11,0,8,0,1,20001071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
111,1,11,10,12,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
112,1,12,11,13,0,9,0,1,20001081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
113,1,13,12,14,0,10,0,1,20001091,3,20001092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
114,1,14,13,15,0,11,0,1,20001101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
115,1,15,14,16,0,12,0,1,20001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
116,1,16,15,17,0,13,0,1,20001121,3,20001122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
117,1,17,16,18,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
118,1,18,17,0,0,14,0,1,20001131,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,30022,1,0,0,0,0
201,2,1,0,2,0,1,0,1,20002011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
202,2,2,1,3,0,2,0,1,20002021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
203,2,3,2,4,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
204,2,4,3,5,0,3,0,1,20002031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,30,0,0,0,0
