id,story_extra_id,episode_index_id,story_type_1,story_id_1,story_type_2,story_id_2,story_type_3,story_id_3,story_type_4,story_id_4,story_type_5,story_id_5,add_reward_category_1,add_reward_id_1,add_reward_num_1,add_reward_category_2,add_reward_id_2,add_reward_num_2,start_date,notice_end_date,end_date
1,1001,1,1,100000001,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629082800,1632884399,2556068399
2,1001,2,1,100000002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629255600,1632884399,2556068399
3,1001,3,1,100000004,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629428400,1632884399,2556068399
4,1001,4,1,100000005,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629601200,1632884399,2556068399
5,1001,5,1,100000006,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1629687600,1632884399,2556068399
6,1001,6,1,100000007,2,8,0,0,0,0,0,0,90,43,20,0,0,0,1629774000,1632884399,2556068399
7,1001,7,1,100000008,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
8,1001,8,1,100000010,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
9,1001,9,1,100000011,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
10,1001,10,1,100000012,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1630292400,1632884399,2556068399
11,1002,1,1,100001001,2,10,0,0,0,0,0,0,90,43,20,0,0,0,1645671600,1648522799,2556068399
12,1002,2,1,100001002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1645671600,1648522799,2556068399
13,1002,3,1,100001003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1645671600,1648522799,2556068399
14,1003,1,1,100002001,2,14,0,0,0,0,0,0,90,43,20,0,0,0,1661310000,1664420399,2556068399
15,1003,2,1,100002002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1661310000,1664420399,2556068399
16,1003,3,1,100002003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1661310000,1664420399,2556068399
17,1004,1,1,100003001,2,16,0,0,0,0,0,0,90,43,20,0,0,0,1677207600,1680058799,2556068399
18,1004,2,1,100003002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1677207600,1680058799,2556068399
19,1004,3,1,100003003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1677207600,1680058799,2556068399
20,1005,1,1,100005001,2,18,0,0,0,0,0,0,90,43,20,0,0,0,1692846000,1695956399,2556068399
21,1005,2,1,100005002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1692846000,1695956399,2556068399
22,1005,3,1,100005003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1692846000,1695956399,2556068399
23,1006,1,1,100006001,2,20,0,0,0,0,0,0,90,43,20,0,0,0,1708743600,1711681199,2556068399
24,1006,2,1,100006002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1708743600,1711681199,2556068399
25,1006,3,1,100006003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1708743600,1711681199,2556068399
26,1007,1,1,100007001,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1724986800,1711681199,2556068399
27,1007,2,1,100007002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1724986800,1711681199,2556068399
28,1007,3,1,100007003,2,24,0,0,0,0,0,0,90,43,20,0,0,0,1724986800,1711681199,2556068399
29,1008,1,1,100008001,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1740366000,1743217199,2556068399
30,1008,2,1,100008002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1740366000,1743217199,2556068399
31,1008,3,1,100008003,2,26,0,0,0,0,0,0,90,43,20,0,0,0,1740366000,1743217199,2556068399
32,1009,1,1,100009001,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1756522800,1743217199,2556068399
33,1009,2,1,100009002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1756522800,1743217199,2556068399
34,1009,3,1,100009003,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1756522800,1743217199,2556068399
35,1009,4,1,100009004,2,29,0,0,0,0,0,0,90,43,20,0,0,0,1756522800,1743217199,2556068399
36,1010,1,1,130001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765422000,1743217199,2556068399
37,1010,2,1,130001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765422000,1743217199,2556068399
38,1011,1,1,100004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765422000,1743217199,2556068399
39,1011,2,1,100004002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765422000,1743217199,2556068399
40,1012,1,3,20290011,1,140001001,0,0,0,0,0,0,90,43,20,0,0,0,1765940400,1743217199,2556068399
41,1012,2,1,140001002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1765940400,1743217199,2556068399
42,1012,3,1,140001003,2,31,0,0,0,0,0,0,90,43,20,0,0,0,1765940400,1743217199,2556068399
43,1013,1,1,100010001,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1771902000,1774839599,2556068399
44,1013,2,1,100010002,0,0,0,0,0,0,0,0,90,43,20,0,0,0,1771902000,1774839599,2556068399
45,1013,3,1,100010003,2,32,0,0,0,0,0,0,90,43,20,0,0,0,1771902000,1774839599,2556068399
