id,story_event_id,nickname_rank,bonus_point
1,1001,1,10
2,1001,2,30
3,1001,3,50
4,1002,1,10
5,1002,2,30
6,1002,3,50
7,1003,1,10
8,1003,2,30
9,1003,3,50
10,1004,1,10
11,1004,2,30
12,1004,3,50
13,1005,1,10
14,1005,2,30
15,1005,3,50
16,1006,1,10
17,1006,2,30
18,1006,3,50
19,1007,1,10
20,1007,2,30
21,1007,3,50
22,1008,1,10
23,1008,2,30
24,1008,3,50
25,1009,1,10
26,1009,2,30
27,1009,3,50
28,1010,1,10
29,1010,2,30
30,1010,3,50
31,1011,1,10
32,1011,2,30
33,1011,3,50
34,1012,1,10
35,1012,2,30
36,1012,3,50
37,1013,1,10
38,1013,2,30
39,1013,3,50
40,1014,1,10
41,1014,2,30
42,1014,3,50
43,1015,1,10
44,1015,2,30
45,1015,3,50
46,1016,1,10
47,1016,2,30
48,1016,3,50
49,1017,1,10
50,1017,2,30
51,1017,3,50
52,1018,1,10
53,1018,2,30
54,1018,3,50
55,1019,1,10
56,1019,2,30
57,1019,3,50
58,1020,1,10
59,1020,2,30
60,1020,3,50
61,1021,1,10
62,1021,2,30
63,1021,3,50
64,1022,1,10
65,1022,2,30
66,1022,3,50
67,1023,1,10
68,1023,2,30
69,1023,3,50
70,1024,1,10
71,1024,2,30
72,1024,3,50
73,1025,1,10
74,1025,2,30
75,1025,3,50
76,1026,1,10
77,1026,2,30
78,1026,3,50
79,1027,1,10
80,1027,2,30
81,1027,3,50
82,1028,1,10
83,1028,2,30
84,1028,3,50
85,1029,1,10
86,1029,2,30
87,1029,3,50
88,1030,1,10
89,1030,2,30
90,1030,3,50
91,1031,1,10
92,1031,2,30
93,1031,3,50
94,1032,1,10
95,1032,2,30
96,1032,3,50
97,1033,1,10
98,1033,2,30
99,1033,3,50
100,1034,1,10
101,1034,2,30
102,1034,3,50
103,1035,1,10
104,1035,2,30
105,1035,3,50
106,1036,1,10
107,1036,2,30
108,1036,3,50
109,1037,1,10
110,1037,2,30
111,1037,3,50
112,1038,1,10
113,1038,2,30
114,1038,3,50
115,1039,1,10
116,1039,2,30
117,1039,3,50
118,1040,1,10
119,1040,2,30
120,1040,3,50
121,1041,1,10
122,1041,2,30
123,1041,3,50
124,1042,1,10
125,1042,2,30
126,1042,3,50
127,1043,1,10
128,1043,2,30
129,1043,3,50
130,1044,1,10
131,1044,2,30
132,1044,3,50
133,1045,1,10
134,1045,2,30
135,1045,3,50
136,1046,1,10
137,1046,2,30
138,1046,3,50
139,1047,1,10
140,1047,2,30
141,1047,3,50
142,1048,1,10
143,1048,2,30
144,1048,3,50
145,1049,1,10
146,1049,2,30
147,1049,3,50
148,1050,1,10
149,1050,2,30
150,1050,3,50
151,1051,1,10
152,1051,2,30
153,1051,3,50
154,1052,1,10
155,1052,2,30
156,1052,3,50
157,1053,1,10
158,1053,2,30
159,1053,3,50
160,1054,1,10
161,1054,2,30
162,1054,3,50
