id,team_rank,team_rank_group,team_min_value,team_max_value,item_category,item_id,item_num
1,1,1,1,2999,0,0,0
2,2,2,3000,6999,90,43,50
3,3,2,7000,12499,90,43,50
4,4,2,12500,19999,90,43,50
5,5,2,20000,27499,90,43,50
6,6,3,27500,34999,90,43,100
7,7,3,35000,42499,90,43,100
8,8,3,42500,49999,90,43,100
9,9,3,50000,59999,90,43,100
10,10,4,60000,69999,90,43,150
11,11,4,70000,79999,90,43,150
12,12,4,80000,89999,90,43,150
13,13,4,90000,99999,90,43,150
14,14,5,100000,114999,90,43,200
15,15,5,115000,129999,90,43,200
16,16,5,130000,144999,90,43,200
17,17,5,145000,159999,90,43,200
18,18,6,160000,169999,90,43,250
19,19,6,170000,179999,90,43,250
20,20,6,180000,189999,90,43,250
21,21,6,190000,199999,90,43,250
22,22,6,200000,209999,90,43,250
23,23,6,210000,219999,90,43,250
24,24,7,220000,229999,90,43,300
25,25,7,230000,239999,90,43,300
26,26,7,240000,249999,90,43,300
27,27,7,250000,254999,90,43,300
28,28,7,255000,259999,90,43,300
29,29,7,260000,264999,90,43,300
30,30,8,265000,269999,90,43,500
31,31,8,270000,274999,90,43,500
32,32,8,275000,279999,90,43,500
33,33,8,280000,284999,90,43,500
34,34,8,285000,289999,90,43,500
35,35,8,290000,294999,90,43,500
36,36,9,295000,301499,90,43,500
37,37,9,301500,307999,90,43,500
38,38,9,308000,314499,90,43,500
39,39,9,314500,320999,90,43,500
40,40,9,321000,327499,90,43,500
41,41,9,327500,333999,90,43,500
42,42,9,334000,340499,90,43,500
43,43,9,340500,346999,90,43,500
44,44,9,347000,353499,90,43,500
45,45,9,353500,359999,90,43,500
46,46,10,360000,367499,90,43,500
47,47,10,367500,374999,90,43,500
48,48,10,375000,382499,90,43,500
49,49,10,382500,389999,90,43,500
50,50,10,390000,397499,90,43,500
51,51,10,397500,404999,90,43,500
52,52,10,405000,412499,90,43,500
53,53,10,412500,419999,90,43,500
54,54,10,420000,427499,90,43,500
55,55,10,427500,434999,90,43,500
56,56,11,435000,443499,90,43,500
57,57,11,443500,451999,90,43,500
58,58,11,452000,460499,90,43,500
59,59,11,460500,468999,90,43,500
60,60,11,469000,477499,90,43,500
61,61,11,477500,485999,90,43,500
62,62,11,486000,494499,90,43,500
63,63,11,494500,502999,90,43,500
64,64,11,503000,511499,90,43,500
65,65,11,511500,519999,90,43,500
66,66,12,520000,528999,90,43,500
67,67,12,529000,537999,90,43,500
68,68,12,538000,546999,90,43,500
69,69,12,547000,555999,90,43,500
70,70,12,556000,564999,90,43,500
71,71,12,565000,573999,90,43,500
72,72,12,574000,582999,90,43,500
73,73,12,583000,591999,90,43,500
74,74,12,592000,600999,90,43,500
75,75,12,601000,610999,90,43,500
76,76,13,611000,621499,90,43,500
77,77,13,621500,631999,90,43,500
78,78,13,632000,642499,90,43,500
79,79,13,642500,652999,90,43,500
80,80,13,653000,663499,90,43,500
81,81,13,663500,673999,90,43,500
82,82,13,674000,684499,90,43,500
83,83,13,684500,694999,90,43,500
84,84,13,695000,705499,90,43,500
85,85,13,705500,715499,90,43,500
86,86,14,715500,726499,90,43,500
87,87,14,726500,737999,90,43,500
88,88,14,738000,749499,90,43,500
