id,turn_set_id,turn,year,month,half,period,unique_command,training_set_id,outing_set_id,top_cloth_id,top_bg_id,bgm_cue_name,bgm_cuesheet_name,bgm_unique_cue_name,bgm_unique_cuesheet_name,rest_type,health_room_type,race_entry_type,story_cloth_id,story_bg_id,story_bg_sub_id
1,1,1,1,4,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
2,1,2,1,4,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
3,1,3,1,4,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
4,1,4,1,4,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
5,1,5,1,5,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
6,1,6,1,5,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
7,1,7,1,5,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
8,1,8,1,5,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,6,9,120
9,1,9,1,6,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,3,9,120
10,1,10,1,6,1,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,3,9,120
11,1,11,1,6,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,0,3,9,120
12,1,12,1,6,2,1,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
13,1,13,1,7,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
14,1,14,1,7,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
15,1,15,1,8,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
16,1,16,1,8,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
17,1,17,1,9,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
18,1,18,1,9,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
19,1,19,1,10,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
20,1,20,1,10,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
21,1,21,1,11,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
22,1,22,1,11,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
23,1,23,1,12,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
24,1,24,1,12,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
25,1,25,2,1,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
26,1,26,2,1,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
27,1,27,2,2,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
28,1,28,2,2,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
29,1,29,2,3,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
30,1,30,2,3,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
31,1,31,2,4,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
32,1,32,2,4,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
33,1,33,2,5,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
34,1,34,2,5,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
35,1,35,2,6,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
36,1,36,2,6,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
37,1,37,2,7,1,2,0,2,2,4,13,snd_bgm_GM034_single,snd_bgm_GM034,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
38,1,38,2,7,2,2,0,2,2,4,13,snd_bgm_GM034_single,snd_bgm_GM034,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
39,1,39,2,8,1,2,0,2,2,4,13,snd_bgm_GM034_single,snd_bgm_GM034,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
40,1,40,2,8,2,2,0,2,2,4,13,snd_bgm_GM034_single,snd_bgm_GM034,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
41,1,41,2,9,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
42,1,42,2,9,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,3,9,120
43,1,43,2,10,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
44,1,44,2,10,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
45,1,45,2,11,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
46,1,46,2,11,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
47,1,47,2,12,1,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
48,1,48,2,12,2,0,0,1,1,0,0,snd_bgm_GM034_single,snd_bgm_GM034,,,1,1,1,6,9,120
49,1,49,3,1,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
50,1,50,3,1,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
51,1,51,3,2,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
52,1,52,3,2,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
53,1,53,3,3,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
54,1,54,3,3,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
55,1,55,3,4,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
56,1,56,3,4,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
57,1,57,3,5,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
58,1,58,3,5,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
59,1,59,3,6,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,3,9,120
60,1,60,3,6,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,3,9,120
61,1,61,3,7,1,2,0,2,2,4,13,snd_bgm_GM035_single,snd_bgm_GM035,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
62,1,62,3,7,2,2,0,2,2,4,13,snd_bgm_GM035_single,snd_bgm_GM035,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
63,1,63,3,8,1,2,0,2,2,4,13,snd_bgm_GM035_single,snd_bgm_GM035,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
64,1,64,3,8,2,2,0,2,2,4,13,snd_bgm_GM035_single,snd_bgm_GM035,snd_bgm_DM018A_sys,snd_bgm_DM018,0,0,1,4,42,2121
65,1,65,3,9,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,3,9,120
66,1,66,3,9,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,3,9,120
67,1,67,3,10,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
68,1,68,3,10,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
69,1,69,3,11,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
70,1,70,3,11,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
71,1,71,3,12,1,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
72,1,72,3,12,2,0,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
73,1,73,4,1,1,3,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,0,6,9,120
74,1,74,4,1,2,3,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
75,1,75,4,1,2,3,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,0,6,9,120
76,1,76,4,1,2,3,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
77,1,77,4,1,2,3,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,0,6,9,120
78,1,78,4,1,2,3,0,1,1,0,0,snd_bgm_GM035_single,snd_bgm_GM035,,,1,1,1,6,9,120
79,2,1,1,4,1,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
80,2,2,1,4,1,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
81,2,3,1,4,2,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
82,2,4,1,4,2,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
83,2,5,1,5,1,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
84,2,6,1,5,1,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
85,2,7,1,5,2,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
86,2,8,1,5,2,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
87,2,9,1,6,1,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
88,2,10,1,6,1,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
89,2,11,1,6,2,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,0,0,9,120
90,2,12,1,6,2,1,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
91,2,13,1,7,1,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
92,2,14,1,7,2,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
93,2,15,1,8,1,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
94,2,16,1,8,2,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
95,2,17,1,9,1,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
96,2,18,1,9,2,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
97,2,19,1,10,1,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
98,2,20,1,10,2,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
99,2,21,1,11,1,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
100,2,22,1,11,2,0,0,1,1,0,0,snd_bgm_GM123_single,snd_bgm_GM123,,,1,1,1,0,9,120
