id,story_id,suggest_select,suggest_index,condition_type,condition_story_id_1,gain_select_1,select_index_1,condition_story_id_2,gain_select_2,select_index_2,condition_story_id_3,gain_select_3,select_index_3
1,501091206,0,1,1,501091117,1,0,0,0,0,0,0,0
2,501032114,0,1,0,0,0,0,0,0,0,0,0,0
3,501009115,1,0,0,0,0,0,0,0,0,0,0,0
4,501091117,1,0,0,0,0,0,0,0,0,0,0,0
5,501116210,0,1,0,0,0,0,0,0,0,0,0,0
6,501005113,2,0,0,0,0,0,0,0,0,0,0,0
7,501022118,4,0,0,0,0,0,0,0,0,0,0,0
8,501031324,2,0,0,0,0,0,0,0,0,0,0,0
9,501016121,2,0,0,0,0,0,0,0,0,0,0,0
10,501056303,0,1,0,0,0,0,0,0,0,0,0,0
11,501056311,0,3,0,0,0,0,0,0,0,0,0,0
12,501069310,2,0,0,0,0,0,0,0,0,0,0,0
13,501069311,2,0,0,0,0,0,0,0,0,0,0,0
14,501071116,2,0,0,0,0,0,0,0,0,0,0,0
15,501132304,2,0,0,0,0,0,0,0,0,0,0,0
16,501081311,0,1,0,0,0,0,0,0,0,0,0,0
17,501135117,1,0,0,0,0,0,0,0,0,0,0,0
18,501135301,1,0,0,0,0,0,0,0,0,0,0,0
19,501135314,1,0,0,0,0,0,0,0,0,0,0,0
20,501135315,1,0,0,0,0,0,0,0,0,0,0,0
21,501137117,1,0,0,0,0,0,0,0,0,0,0,0
22,501129100,1,0,0,0,0,0,0,0,0,0,0,0
23,501129114,1,0,0,0,0,0,0,0,0,0,0,0
24,501129202,1,0,0,0,0,0,0,0,0,0,0,0
25,501129307,1,0,0,0,0,0,0,0,0,0,0,0
26,501129204,1,0,0,0,0,0,0,0,0,0,0,0
27,501129107,1,0,0,0,0,0,0,0,0,0,0,0
28,501129211,1,0,0,0,0,0,0,0,0,0,0,0
29,501129109,1,0,0,0,0,0,0,0,0,0,0,0
30,501129111,1,0,0,0,0,0,0,0,0,0,0,0
31,501129117,0,1,0,0,0,0,0,0,0,0,0,0
32,501129316,0,1,0,0,0,0,0,0,0,0,0,0
33,501129316,0,1,2,501129312,0,0,0,0,0,0,0,0
34,501129316,0,2,2,501129313,0,0,0,0,0,0,0,0
35,501130209,0,1,0,0,0,0,0,0,0,0,0,0
36,501130204,0,1,0,0,0,0,0,0,0,0,0,0
