id,condition_type,have_mini,general_purpose,costume_type,chara_id,use_gender,body_shape,body_type,body_type_sub,body_setting,use_race,use_live,use_live_theater,use_home,use_dress_change,is_wet,is_dirt,head_sub_id,use_season,dress_color_main,dress_color_sub,color_num,disp_order,tail_model_id,tail_model_sub_id,mini_mayu_shader_type,start_time,end_time
1,5,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
2,1,1,1,0,0,0,0,2,0,0,0,1,1,1,0,1,1,0,1,5E3FC5,AB8FFF,0,1,-1,0,-1,1614135600,2524661999
3,5,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,1,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
4,5,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
5,2,1,1,0,0,0,0,2,1,0,0,1,1,1,0,1,1,0,1,5E3FC5,AB8FFF,0,2,-1,0,-1,1614135600,2524661999
6,5,1,0,0,0,1,0,3,1,0,0,1,0,0,0,1,1,0,1,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
7,5,0,0,0,0,0,0,6,0,2,0,1,1,0,0,1,1,0,0,FFFFFF,FFFFFF,4,3,-1,0,-1,1614135600,2524661999
8,5,0,0,0,0,0,0,7,0,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
9,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
11,5,0,0,0,0,0,0,7,1,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
12,5,0,0,0,0,0,0,7,2,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1614135600,2524661999
13,5,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,5E3FC5,AB8FFF,0,190,-1,0,-1,1614135600,2524661999
14,5,0,1,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,1,5E3FC5,AB8FFF,0,190,-1,0,-1,1614135600,2524661999
15,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1614135600,2524661999
16,5,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1614135600,2524661999
17,5,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1614135600,2524661999
18,5,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1614135600,2524661999
