id,factor_research_event_id,ending_flag,character_id,dress_id,menu_bg_id,menu_bg_sub_id,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
1,1001,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
2,1001,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
3,1002,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
4,1002,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
5,1003,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
6,1003,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
7,1004,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
8,1004,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
9,1005,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
10,1005,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
11,1006,0,1025,5,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
12,1006,1,1025,5,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
13,1006,0,1032,103201,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
14,1006,1,1032,103201,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
15,1006,0,1094,5,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
16,1006,1,1094,5,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
17,1006,0,1092,5,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
18,1006,1,1092,5,140,110,snd_bgm_MO003_short_sys,snd_bgm_MO003_short,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
19,1007,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
20,1007,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
21,1008,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
22,1008,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
23,1009,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
24,1009,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
25,1010,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
26,1010,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
